,train,val,test
0,subjectB3F0V9-VendorA_frame00_slice00,subjectO0S9V7-VendorA_frame00_slice00,subjectA0S9V9-VendorA_frame00_slice00
1,subjectB3F0V9-VendorA_frame00_slice01,subjectO0S9V7-VendorA_frame00_slice01,subjectA0S9V9-VendorA_frame00_slice01
2,subjectB3F0V9-VendorA_frame00_slice02,subjectO0S9V7-VendorA_frame00_slice02,subjectA0S9V9-VendorA_frame00_slice02
3,subjectB3F0V9-VendorA_frame00_slice03,subjectO0S9V7-VendorA_frame00_slice03,subjectA0S9V9-VendorA_frame00_slice03
4,subjectB3F0V9-VendorA_frame00_slice04,subjectO0S9V7-VendorA_frame00_slice04,subjectA0S9V9-VendorA_frame00_slice04
5,subjectB3F0V9-VendorA_frame00_slice05,subjectO0S9V7-VendorA_frame00_slice05,subjectA0S9V9-VendorA_frame00_slice05
6,subjectB3F0V9-VendorA_frame00_slice06,subjectO0S9V7-VendorA_frame00_slice06,subjectA0S9V9-VendorA_frame00_slice06
7,subjectB3F0V9-VendorA_frame00_slice07,subjectO0S9V7-VendorA_frame00_slice07,subjectA0S9V9-VendorA_frame00_slice07
8,subjectB3F0V9-VendorA_frame00_slice08,subjectO0S9V7-VendorA_frame00_slice08,subjectA0S9V9-VendorA_frame00_slice08
9,subjectB3F0V9-VendorA_frame00_slice09,subjectO0S9V7-VendorA_frame00_slice09,subjectA0S9V9-VendorA_frame00_slice09
10,subjectB3F0V9-VendorA_frame12_slice00,subjectO0S9V7-VendorA_frame09_slice00,subjectA0S9V9-VendorA_frame09_slice00
11,subjectB3F0V9-VendorA_frame12_slice01,subjectO0S9V7-VendorA_frame09_slice01,subjectA0S9V9-VendorA_frame09_slice01
12,subjectB3F0V9-VendorA_frame12_slice02,subjectO0S9V7-VendorA_frame09_slice02,subjectA0S9V9-VendorA_frame09_slice02
13,subjectB3F0V9-VendorA_frame12_slice03,subjectO0S9V7-VendorA_frame09_slice03,subjectA0S9V9-VendorA_frame09_slice03
14,subjectB3F0V9-VendorA_frame12_slice04,subjectO0S9V7-VendorA_frame09_slice04,subjectA0S9V9-VendorA_frame09_slice04
15,subjectB3F0V9-VendorA_frame12_slice05,subjectO0S9V7-VendorA_frame09_slice05,subjectA0S9V9-VendorA_frame09_slice05
16,subjectB3F0V9-VendorA_frame12_slice06,subjectO0S9V7-VendorA_frame09_slice06,subjectA0S9V9-VendorA_frame09_slice06
17,subjectB3F0V9-VendorA_frame12_slice07,subjectO0S9V7-VendorA_frame09_slice07,subjectA0S9V9-VendorA_frame09_slice07
18,subjectB3F0V9-VendorA_frame12_slice08,subjectO0S9V7-VendorA_frame09_slice08,subjectA0S9V9-VendorA_frame09_slice08
19,subjectB3F0V9-VendorA_frame12_slice09,subjectO0S9V7-VendorA_frame09_slice09,subjectA0S9V9-VendorA_frame09_slice09
20,subjectN5S7Y1-VendorA_frame00_slice00,subjectP0S5Y0-VendorA_frame00_slice00,subjectB9H8N8-VendorA_frame00_slice00
21,subjectN5S7Y1-VendorA_frame00_slice01,subjectP0S5Y0-VendorA_frame00_slice01,subjectB9H8N8-VendorA_frame00_slice01
22,subjectN5S7Y1-VendorA_frame00_slice02,subjectP0S5Y0-VendorA_frame00_slice02,subjectB9H8N8-VendorA_frame00_slice02
23,subjectN5S7Y1-VendorA_frame00_slice03,subjectP0S5Y0-VendorA_frame00_slice03,subjectB9H8N8-VendorA_frame00_slice03
24,subjectN5S7Y1-VendorA_frame00_slice04,subjectP0S5Y0-VendorA_frame00_slice04,subjectB9H8N8-VendorA_frame00_slice04
25,subjectN5S7Y1-VendorA_frame00_slice05,subjectP0S5Y0-VendorA_frame00_slice05,subjectB9H8N8-VendorA_frame00_slice05
26,subjectN5S7Y1-VendorA_frame00_slice06,subjectP0S5Y0-VendorA_frame00_slice06,subjectB9H8N8-VendorA_frame00_slice06
27,subjectN5S7Y1-VendorA_frame00_slice07,subjectP0S5Y0-VendorA_frame00_slice07,subjectB9H8N8-VendorA_frame00_slice07
28,subjectN5S7Y1-VendorA_frame00_slice08,subjectP0S5Y0-VendorA_frame00_slice08,subjectB9H8N8-VendorA_frame00_slice08
29,subjectN5S7Y1-VendorA_frame00_slice09,subjectP0S5Y0-VendorA_frame00_slice09,subjectB9H8N8-VendorA_frame00_slice09
30,subjectN5S7Y1-VendorA_frame09_slice00,subjectP0S5Y0-VendorA_frame10_slice00,subjectB9H8N8-VendorA_frame10_slice00
31,subjectN5S7Y1-VendorA_frame09_slice01,subjectP0S5Y0-VendorA_frame10_slice01,subjectB9H8N8-VendorA_frame10_slice01
32,subjectN5S7Y1-VendorA_frame09_slice02,subjectP0S5Y0-VendorA_frame10_slice02,subjectB9H8N8-VendorA_frame10_slice02
33,subjectN5S7Y1-VendorA_frame09_slice03,subjectP0S5Y0-VendorA_frame10_slice03,subjectB9H8N8-VendorA_frame10_slice03
34,subjectN5S7Y1-VendorA_frame09_slice04,subjectP0S5Y0-VendorA_frame10_slice04,subjectB9H8N8-VendorA_frame10_slice04
35,subjectN5S7Y1-VendorA_frame09_slice05,subjectP0S5Y0-VendorA_frame10_slice05,subjectB9H8N8-VendorA_frame10_slice05
36,subjectN5S7Y1-VendorA_frame09_slice06,subjectP0S5Y0-VendorA_frame10_slice06,subjectB9H8N8-VendorA_frame10_slice06
37,subjectN5S7Y1-VendorA_frame09_slice07,subjectP0S5Y0-VendorA_frame10_slice07,subjectB9H8N8-VendorA_frame10_slice07
38,subjectN5S7Y1-VendorA_frame09_slice08,subjectP0S5Y0-VendorA_frame10_slice08,subjectB9H8N8-VendorA_frame10_slice08
39,subjectN5S7Y1-VendorA_frame09_slice09,subjectP0S5Y0-VendorA_frame10_slice09,subjectB9H8N8-VendorA_frame10_slice09
40,subjectQ0U0V5-VendorA_frame00_slice00,subjectT2T9Z9-VendorA_frame00_slice00,subjectC6J5P1-VendorA_frame00_slice00
41,subjectQ0U0V5-VendorA_frame00_slice01,subjectT2T9Z9-VendorA_frame00_slice01,subjectC6J5P1-VendorA_frame00_slice01
42,subjectQ0U0V5-VendorA_frame00_slice02,subjectT2T9Z9-VendorA_frame00_slice02,subjectC6J5P1-VendorA_frame00_slice02
43,subjectQ0U0V5-VendorA_frame00_slice03,subjectT2T9Z9-VendorA_frame00_slice03,subjectC6J5P1-VendorA_frame00_slice03
44,subjectQ0U0V5-VendorA_frame00_slice04,subjectT2T9Z9-VendorA_frame00_slice04,subjectC6J5P1-VendorA_frame00_slice04
45,subjectQ0U0V5-VendorA_frame00_slice05,subjectT2T9Z9-VendorA_frame00_slice05,subjectC6J5P1-VendorA_frame00_slice05
46,subjectQ0U0V5-VendorA_frame00_slice06,subjectT2T9Z9-VendorA_frame00_slice06,subjectC6J5P1-VendorA_frame00_slice06
47,subjectQ0U0V5-VendorA_frame00_slice07,subjectT2T9Z9-VendorA_frame00_slice07,subjectC6J5P1-VendorA_frame00_slice07
48,subjectQ0U0V5-VendorA_frame00_slice08,subjectT2T9Z9-VendorA_frame00_slice08,subjectC6J5P1-VendorA_frame00_slice08
49,subjectQ0U0V5-VendorA_frame00_slice09,subjectT2T9Z9-VendorA_frame00_slice09,subjectC6J5P1-VendorA_frame00_slice09
50,subjectQ0U0V5-VendorA_frame10_slice00,subjectT2T9Z9-VendorA_frame13_slice00,subjectC6J5P1-VendorA_frame10_slice00
51,subjectQ0U0V5-VendorA_frame10_slice01,subjectT2T9Z9-VendorA_frame13_slice01,subjectC6J5P1-VendorA_frame10_slice01
52,subjectQ0U0V5-VendorA_frame10_slice02,subjectT2T9Z9-VendorA_frame13_slice02,subjectC6J5P1-VendorA_frame10_slice02
53,subjectQ0U0V5-VendorA_frame10_slice03,subjectT2T9Z9-VendorA_frame13_slice03,subjectC6J5P1-VendorA_frame10_slice03
54,subjectQ0U0V5-VendorA_frame10_slice04,subjectT2T9Z9-VendorA_frame13_slice04,subjectC6J5P1-VendorA_frame10_slice04
55,subjectQ0U0V5-VendorA_frame10_slice05,subjectT2T9Z9-VendorA_frame13_slice05,subjectC6J5P1-VendorA_frame10_slice05
56,subjectQ0U0V5-VendorA_frame10_slice06,subjectT2T9Z9-VendorA_frame13_slice06,subjectC6J5P1-VendorA_frame10_slice06
57,subjectQ0U0V5-VendorA_frame10_slice07,subjectT2T9Z9-VendorA_frame13_slice07,subjectC6J5P1-VendorA_frame10_slice07
58,subjectQ0U0V5-VendorA_frame10_slice08,subjectT2T9Z9-VendorA_frame13_slice08,subjectC6J5P1-VendorA_frame10_slice08
59,subjectQ0U0V5-VendorA_frame10_slice09,subjectT2T9Z9-VendorA_frame13_slice09,subjectC6J5P1-VendorA_frame10_slice09
60,subjectB5F8L9-VendorA_frame00_slice00,subjectG7I5V7-VendorA_frame00_slice00,subjectB8H5H6-VendorA_frame08_slice00
