,slide_id
0,subjectA1D0Q7-VendorB_frame00_slice00
1,subjectA1D0Q7-VendorB_frame00_slice01
2,subjectA1D0Q7-VendorB_frame00_slice02
3,subjectA1D0Q7-VendorB_frame00_slice03
4,subjectA1D0Q7-VendorB_frame00_slice04
5,subjectA1D0Q7-VendorB_frame00_slice05
6,subjectA1D0Q7-VendorB_frame00_slice06
7,subjectA1D0Q7-VendorB_frame00_slice07
8,subjectA1D0Q7-VendorB_frame00_slice08
9,subjectA1D0Q7-VendorB_frame00_slice09
10,subjectA1D0Q7-VendorB_frame09_slice00
11,subjectA1D0Q7-VendorB_frame09_slice01
12,subjectA1D0Q7-VendorB_frame09_slice02
13,subjectA1D0Q7-VendorB_frame09_slice03
14,subjectA1D0Q7-VendorB_frame09_slice04
15,subjectA1D0Q7-VendorB_frame09_slice05
16,subjectA1D0Q7-VendorB_frame09_slice06
17,subjectA1D0Q7-VendorB_frame09_slice07
18,subjectA1D0Q7-VendorB_frame09_slice08
19,subjectA1D0Q7-VendorB_frame09_slice09
20,subjectA2H5K9-VendorB_frame08_slice00
21,subjectA2H5K9-VendorB_frame08_slice01
22,subjectA2H5K9-VendorB_frame08_slice02
23,subjectA2H5K9-VendorB_frame08_slice03
24,subjectA2H5K9-VendorB_frame08_slice04
25,subjectA2H5K9-VendorB_frame08_slice05
26,subjectA2H5K9-VendorB_frame08_slice06
27,subjectA2H5K9-VendorB_frame08_slice07
28,subjectA2H5K9-VendorB_frame08_slice08
29,subjectA2H5K9-VendorB_frame08_slice09
30,subjectA2H5K9-VendorB_frame29_slice00
31,subjectA2H5K9-VendorB_frame29_slice01
32,subjectA2H5K9-VendorB_frame29_slice02
33,subjectA2H5K9-VendorB_frame29_slice03
34,subjectA2H5K9-VendorB_frame29_slice04
35,subjectA2H5K9-VendorB_frame29_slice05
36,subjectA2H5K9-VendorB_frame29_slice06
37,subjectA2H5K9-VendorB_frame29_slice07
38,subjectA2H5K9-VendorB_frame29_slice08
39,subjectA2H5K9-VendorB_frame29_slice09
40,subjectA3B7E5-VendorB_frame12_slice00
41,subjectA3B7E5-VendorB_frame12_slice01
42,subjectA3B7E5-VendorB_frame12_slice02
43,subjectA3B7E5-VendorB_frame12_slice03
44,subjectA3B7E5-VendorB_frame12_slice04
45,subjectA3B7E5-VendorB_frame12_slice05
46,subjectA3B7E5-VendorB_frame12_slice06
47,subjectA3B7E5-VendorB_frame12_slice07
48,subjectA3B7E5-VendorB_frame12_slice08
49,subjectA3B7E5-VendorB_frame12_slice09
50,subjectA3B7E5-VendorB_frame29_slice00
51,subjectA3B7E5-VendorB_frame29_slice01
52,subjectA3B7E5-VendorB_frame29_slice02
53,subjectA3B7E5-VendorB_frame29_slice03
54,subjectA3B7E5-VendorB_frame29_slice04
55,subjectA3B7E5-VendorB_frame29_slice05
56,subjectA3B7E5-VendorB_frame29_slice06
57,subjectA3B7E5-VendorB_frame29_slice07
58,subjectA3B7E5-VendorB_frame29_slice08
59,subjectA3B7E5-VendorB_frame29_slice09
60,subjectA5D0G0-VendorB_frame00_slice00
61,subjectA5D0G0-VendorB_frame00_slice01
62,subjectA5D0G0-VendorB_frame00_slice02
63,subjectA5D0G0-VendorB_frame00_slice03
64,subjectA5D0G0-VendorB_frame00_slice04
65,subjectA5D0G0-VendorB_frame00_slice05
66,subjectA5D0G0-VendorB_frame00_slice06
67,subjectA5D0G0-VendorB_frame00_slice07
68,subjectA5D0G0-VendorB_frame00_slice08
69,subjectA5D0G0-VendorB_frame00_slice09
70,subjectA5D0G0-VendorB_frame10_slice00
71,subjectA5D0G0-VendorB_frame10_slice01
72,subjectA5D0G0-VendorB_frame10_slice02
73,subjectA5D0G0-VendorB_frame10_slice03
74,subjectA5D0G0-VendorB_frame10_slice04
