,train,val,test
0,subjectH6I0I6-VendorB_frame10_slice00,subjectE3T0Z2-VendorB_frame10_slice00,subjectB4S1Y2-VendorB_frame10_slice00
1,subjectH6I0I6-VendorB_frame10_slice01,subjectE3T0Z2-VendorB_frame10_slice01,subjectB4S1Y2-VendorB_frame10_slice01
2,subjectH6I0I6-VendorB_frame10_slice02,subjectE3T0Z2-VendorB_frame10_slice02,subjectB4S1Y2-VendorB_frame10_slice02
3,subjectH6I0I6-VendorB_frame10_slice03,subjectE3T0Z2-VendorB_frame10_slice03,subjectB4S1Y2-VendorB_frame10_slice03
4,subjectH6I0I6-VendorB_frame10_slice04,subjectE3T0Z2-VendorB_frame10_slice04,subjectB4S1Y2-VendorB_frame10_slice04
5,subjectH6I0I6-VendorB_frame10_slice05,subjectE3T0Z2-VendorB_frame10_slice05,subjectB4S1Y2-VendorB_frame10_slice05
6,subjectH6I0I6-VendorB_frame10_slice06,subjectE3T0Z2-VendorB_frame10_slice06,subjectB4S1Y2-VendorB_frame10_slice06
7,subjectH6I0I6-VendorB_frame10_slice07,subjectE3T0Z2-VendorB_frame10_slice07,subjectB4S1Y2-VendorB_frame10_slice07
8,subjectH6I0I6-VendorB_frame10_slice08,subjectE3T0Z2-VendorB_frame10_slice08,subjectB4S1Y2-VendorB_frame10_slice08
9,subjectH6I0I6-VendorB_frame10_slice09,subjectE3T0Z2-VendorB_frame10_slice09,subjectB4S1Y2-VendorB_frame10_slice09
10,subjectH6I0I6-VendorB_frame28_slice00,subjectE3T0Z2-VendorB_frame29_slice00,subjectB4S1Y2-VendorB_frame29_slice00
11,subjectH6I0I6-VendorB_frame28_slice01,subjectE3T0Z2-VendorB_frame29_slice01,subjectB4S1Y2-VendorB_frame29_slice01
12,subjectH6I0I6-VendorB_frame28_slice02,subjectE3T0Z2-VendorB_frame29_slice02,subjectB4S1Y2-VendorB_frame29_slice02
13,subjectH6I0I6-VendorB_frame28_slice03,subjectE3T0Z2-VendorB_frame29_slice03,subjectB4S1Y2-VendorB_frame29_slice03
14,subjectH6I0I6-VendorB_frame28_slice04,subjectE3T0Z2-VendorB_frame29_slice04,subjectB4S1Y2-VendorB_frame29_slice04
15,subjectH6I0I6-VendorB_frame28_slice05,subjectE3T0Z2-VendorB_frame29_slice05,subjectB4S1Y2-VendorB_frame29_slice05
16,subjectH6I0I6-VendorB_frame28_slice06,subjectE3T0Z2-VendorB_frame29_slice06,subjectB4S1Y2-VendorB_frame29_slice06
17,subjectH6I0I6-VendorB_frame28_slice07,subjectE3T0Z2-VendorB_frame29_slice07,subjectB4S1Y2-VendorB_frame29_slice07
18,subjectH6I0I6-VendorB_frame28_slice08,subjectE3T0Z2-VendorB_frame29_slice08,subjectB4S1Y2-VendorB_frame29_slice08
19,subjectH6I0I6-VendorB_frame28_slice09,subjectE3T0Z2-VendorB_frame29_slice09,subjectB4S1Y2-VendorB_frame29_slice09
20,subjectI6T4W8-VendorB_frame12_slice00,subjectF0J2R8-VendorB_frame09_slice00,subjectC4R8T7-VendorB_frame08_slice00
21,subjectI6T4W8-VendorB_frame12_slice01,subjectF0J2R8-VendorB_frame09_slice01,subjectC4R8T7-VendorB_frame08_slice01
22,subjectI6T4W8-VendorB_frame12_slice02,subjectF0J2R8-VendorB_frame09_slice02,subjectC4R8T7-VendorB_frame08_slice02
23,subjectI6T4W8-VendorB_frame12_slice03,subjectF0J2R8-VendorB_frame09_slice03,subjectC4R8T7-VendorB_frame08_slice03
24,subjectI6T4W8-VendorB_frame12_slice04,subjectF0J2R8-VendorB_frame09_slice04,subjectC4R8T7-VendorB_frame08_slice04
25,subjectI6T4W8-VendorB_frame12_slice05,subjectF0J2R8-VendorB_frame09_slice05,subjectC4R8T7-VendorB_frame08_slice05
26,subjectI6T4W8-VendorB_frame12_slice06,subjectF0J2R8-VendorB_frame09_slice06,subjectC4R8T7-VendorB_frame08_slice06
27,subjectI6T4W8-VendorB_frame12_slice07,subjectF0J2R8-VendorB_frame09_slice07,subjectC4R8T7-VendorB_frame08_slice07
28,subjectI6T4W8-VendorB_frame12_slice08,subjectF0J2R8-VendorB_frame09_slice08,subjectC4R8T7-VendorB_frame08_slice08
29,subjectI6T4W8-VendorB_frame12_slice09,subjectF0J2R8-VendorB_frame09_slice09,subjectC4R8T7-VendorB_frame08_slice09
30,subjectI6T4W8-VendorB_frame28_slice00,subjectF0J2R8-VendorB_frame29_slice00,subjectC4R8T7-VendorB_frame28_slice00
31,subjectI6T4W8-VendorB_frame28_slice01,subjectF0J2R8-VendorB_frame29_slice01,subjectC4R8T7-VendorB_frame28_slice01
32,subjectI6T4W8-VendorB_frame28_slice02,subjectF0J2R8-VendorB_frame29_slice02,subjectC4R8T7-VendorB_frame28_slice02
33,subjectI6T4W8-VendorB_frame28_slice03,subjectF0J2R8-VendorB_frame29_slice03,subjectC4R8T7-VendorB_frame28_slice03
34,subjectI6T4W8-VendorB_frame28_slice04,subjectF0J2R8-VendorB_frame29_slice04,subjectC4R8T7-VendorB_frame28_slice04
35,subjectI6T4W8-VendorB_frame28_slice05,subjectF0J2R8-VendorB_frame29_slice05,subjectC4R8T7-VendorB_frame28_slice05
36,subjectI6T4W8-VendorB_frame28_slice06,subjectF0J2R8-VendorB_frame29_slice06,subjectC4R8T7-VendorB_frame28_slice06
37,subjectI6T4W8-VendorB_frame28_slice07,subjectF0J2R8-VendorB_frame29_slice07,subjectC4R8T7-VendorB_frame28_slice07
38,subjectI6T4W8-VendorB_frame28_slice08,subjectF0J2R8-VendorB_frame29_slice08,subjectC4R8T7-VendorB_frame28_slice08
39,subjectI6T4W8-VendorB_frame28_slice09,subjectF0J2R8-VendorB_frame29_slice09,subjectC4R8T7-VendorB_frame28_slice09
40,subjectC2L5P7-VendorB_frame12_slice00,subjectH1M5Y6-VendorB_frame08_slice00,subjectI0J5U3-VendorB_frame10_slice00
41,subjectC2L5P7-VendorB_frame12_slice01,subjectH1M5Y6-VendorB_frame08_slice01,subjectI0J5U3-VendorB_frame10_slice01
42,subjectC2L5P7-VendorB_frame12_slice02,subjectH1M5Y6-VendorB_frame08_slice02,subjectI0J5U3-VendorB_frame10_slice02
43,subjectC2L5P7-VendorB_frame12_slice03,subjectH1M5Y6-VendorB_frame08_slice03,subjectI0J5U3-VendorB_frame10_slice03
44,subjectC2L5P7-VendorB_frame12_slice04,subjectH1M5Y6-VendorB_frame08_slice04,subjectI0J5U3-VendorB_frame10_slice04
45,subjectC2L5P7-VendorB_frame12_slice05,subjectH1M5Y6-VendorB_frame08_slice05,subjectI0J5U3-VendorB_frame10_slice05
46,subjectC2L5P7-VendorB_frame12_slice06,subjectH1M5Y6-VendorB_frame08_slice06,subjectI0J5U3-VendorB_frame10_slice06
