,train,val,test
0,subjectO5U2U7-VendorD_frame01_slice00,subjectE6H0V9-VendorD_frame12_slice00,subjectC0L7V1-VendorD_frame14_slice00
1,subjectO5U2U7-VendorD_frame01_slice01,subjectE6H0V9-VendorD_frame12_slice01,subjectC0L7V1-VendorD_frame14_slice01
2,subjectO5U2U7-VendorD_frame01_slice02,subjectE6H0V9-VendorD_frame12_slice02,subjectC0L7V1-VendorD_frame14_slice02
3,subjectO5U2U7-VendorD_frame01_slice03,subjectE6H0V9-VendorD_frame12_slice03,subjectC0L7V1-VendorD_frame14_slice03
4,subjectO5U2U7-VendorD_frame01_slice04,subjectE6H0V9-VendorD_frame12_slice04,subjectC0L7V1-VendorD_frame14_slice04
5,subjectO5U2U7-VendorD_frame01_slice05,subjectE6H0V9-VendorD_frame12_slice05,subjectC0L7V1-VendorD_frame14_slice05
6,subjectO5U2U7-VendorD_frame01_slice06,subjectE6H0V9-VendorD_frame12_slice06,subjectC0L7V1-VendorD_frame14_slice06
7,subjectO5U2U7-VendorD_frame01_slice07,subjectE6H0V9-VendorD_frame12_slice07,subjectC0L7V1-VendorD_frame14_slice07
8,subjectO5U2U7-VendorD_frame01_slice08,subjectE6H0V9-VendorD_frame12_slice08,subjectC0L7V1-VendorD_frame14_slice08
9,subjectO5U2U7-VendorD_frame01_slice09,subjectE6H0V9-VendorD_frame12_slice09,subjectC0L7V1-VendorD_frame14_slice09
10,subjectO5U2U7-VendorD_frame09_slice00,subjectE6H0V9-VendorD_frame33_slice00,subjectC0L7V1-VendorD_frame33_slice00
11,subjectO5U2U7-VendorD_frame09_slice01,subjectE6H0V9-VendorD_frame33_slice01,subjectC0L7V1-VendorD_frame33_slice01
12,subjectO5U2U7-VendorD_frame09_slice02,subjectE6H0V9-VendorD_frame33_slice02,subjectC0L7V1-VendorD_frame33_slice02
13,subjectO5U2U7-VendorD_frame09_slice03,subjectE6H0V9-VendorD_frame33_slice03,subjectC0L7V1-VendorD_frame33_slice03
14,subjectO5U2U7-VendorD_frame09_slice04,subjectE6H0V9-VendorD_frame33_slice04,subjectC0L7V1-VendorD_frame33_slice04
15,subjectO5U2U7-VendorD_frame09_slice05,subjectE6H0V9-VendorD_frame33_slice05,subjectC0L7V1-VendorD_frame33_slice05
16,subjectO5U2U7-VendorD_frame09_slice06,subjectE6H0V9-VendorD_frame33_slice06,subjectC0L7V1-VendorD_frame33_slice06
17,subjectO5U2U7-VendorD_frame09_slice07,subjectE6H0V9-VendorD_frame33_slice07,subjectC0L7V1-VendorD_frame33_slice07
18,subjectO5U2U7-VendorD_frame09_slice08,subjectE6H0V9-VendorD_frame33_slice08,subjectC0L7V1-VendorD_frame33_slice08
19,subjectO5U2U7-VendorD_frame09_slice09,subjectE6H0V9-VendorD_frame33_slice09,subjectC0L7V1-VendorD_frame33_slice09
20,subjectA6B7Y4-VendorD_frame01_slice00,subjectN7W6Z8-VendorD_frame11_slice00,subjectL8M2U8-VendorD_frame00_slice00
21,subjectA6B7Y4-VendorD_frame01_slice01,subjectN7W6Z8-VendorD_frame11_slice01,subjectL8M2U8-VendorD_frame00_slice01
22,subjectA6B7Y4-VendorD_frame01_slice02,subjectN7W6Z8-VendorD_frame11_slice02,subjectL8M2U8-VendorD_frame00_slice02
23,subjectA6B7Y4-VendorD_frame01_slice03,subjectN7W6Z8-VendorD_frame11_slice03,subjectL8M2U8-VendorD_frame00_slice03
