,train,val,test
0,IDRiD_47,IDRiD_41,IDRiD_55
1,IDRiD_24,IDRiD_18,IDRiD_56
2,IDRiD_51,IDRiD_08,IDRiD_57
3,IDRiD_50,IDRiD_31,IDRiD_58
4,IDRiD_03,IDRiD_40,IDRiD_59
5,IDRiD_53,IDRiD_15,IDRiD_60
6,IDRiD_42,IDRiD_06,IDRiD_61
7,IDRiD_11,IDRiD_48,IDRiD_62
8,IDRiD_05,IDRiD_13,IDRiD_63
9,IDRiD_54,IDRiD_16,IDRiD_64
10,IDRiD_04,IDRiD_23,IDRiD_65
11,IDRiD_39,IDRiD_22,IDRiD_66
12,IDRiD_17,,IDRiD_67
13,IDRiD_10,,IDRiD_68
14,IDRiD_25,,IDRiD_69
15,IDRiD_30,,IDRiD_70
16,IDRiD_38,,IDRiD_71
17,IDRiD_19,,IDRiD_72
18,IDRiD_28,,IDRiD_73
19,IDRiD_35,,IDRiD_74
20,IDRiD_43,,IDRiD_75
21,IDRiD_09,,IDRiD_76
22,IDRiD_29,,IDRiD_77
23,IDRiD_45,,IDRiD_78
24,IDRiD_14,,IDRiD_79
25,IDRiD_12,,IDRiD_80
26,IDRiD_01,,IDRiD_81
27,IDRiD_46,,
28,IDRiD_37,,
29,IDRiD_02,,
30,IDRiD_32,,
31,IDRiD_49,,
32,IDRiD_52,,
33,IDRiD_07,,
34,IDRiD_33,,
35,IDRiD_20,,
36,IDRiD_36,,
37,IDRiD_27,,
38,IDRiD_26,,
39,IDRiD_34,,
40,IDRiD_44,,
41,IDRiD_21,,
