,train,val,test
0,r2_Im132,r2_Im252,r2_Im078
1,r2_Im268,r2_Im104,r1_Im032
2,r1_Im156,r1_Im146,r2_Im048
3,r1_Im072,r2_Im162,r2_Im232
4,r2_Im248,r2_Im164,r2_Im331
5,r1_Im022,r2_Im032,r1_Im129
6,r2_Im220,r1_Im001,r2_Im387
7,r1_Im159,r1_Im062,r2_Im015
8,r2_Im451,r2_Im293,r2_Im096
9,r1_Im136,r2_Im244,r2_Im441
10,r1_Im130,r2_Im136,r2_Im242
11,r2_Im406,r2_Im305,r2_Im154
12,r2_Im324,r1_Im137,r2_Im264
13,r2_Im076,r2_Im218,r2_Im424
14,r2_Im013,r1_Im019,r2_Im358
15,r2_Im422,r2_Im224,r2_Im333
16,r1_Im107,r2_Im230,r2_Im288
17,r2_Im022,r2_Im094,r2_Im222
18,r2_Im321,r2_Im362,r2_Im098
19,r2_Im036,r2_Im373,r2_Im084
20,r2_Im266,r1_Im055,r1_Im050
21,r2_Im030,r2_Im392,r1_Im086
22,r2_Im270,r2_Im250,r2_Im428
23,r2_Im174,r1_Im046,r2_Im114
24,r1_Im135,r1_Im169,r2_Im158
25,r2_Im398,r2_Im320,r1_Im149
26,r2_Im347,r1_Im125,r2_Im148
27,r2_Im168,r2_Im066,r2_Im122
28,r1_Im103,r2_Im026,r2_Im118
29,r2_Im016,r1_Im020,r1_Im122
30,r2_Im433,r2_Im024,r2_Im023
31,r1_Im025,r2_Im050,r2_Im369
32,r1_Im031,r1_Im058,r2_Im400
33,r2_Im291,r1_Im143,r2_Im436
34,r2_Im401,r2_Im134,r2_Im429
35,r1_Im027,r2_Im186,r2_Im017
36,r2_Im287,r2_Im021,r1_Im168
37,r2_Im068,r2_Im354,r1_Im120
38,r1_Im118,r1_Im059,r2_Im352
39,r2_Im052,r2_Im329,r2_Im407
40,r2_Im056,r2_Im238,r1_Im060
41,r2_Im343,r1_Im011,r2_Im202
42,r2_Im330,r1_Im006,r2_Im332
43,r1_Im054,r1_Im095,r2_Im260
44,r2_Im106,r2_Im212,r2_Im302
45,r2_Im303,r2_Im005,r1_Im061
46,r2_Im102,r2_Im254,r1_Im144
47,r2_Im444,r2_Im415,r2_Im257
48,r1_Im164,r2_Im007,r2_Im402
49,r2_Im028,r2_Im011,r2_Im156
50,r1_Im154,r2_Im194,r2_Im170
51,r1_Im015,r2_Im190,r2_Im020
52,r2_Im216,r2_Im082,r2_Im416
53,r1_Im108,r2_Im228,r2_Im198
54,r2_Im356,r2_Im116,r2_Im130
55,r2_Im152,r2_Im110,r1_Im071
56,r2_Im038,r2_Im009,r2_Im445
57,r2_Im040,r2_Im301,r2_Im357
58,r1_Im012,r1_Im057,r2_Im390
59,r1_Im116,r2_Im234,r2_Im142
60,r2_Im146,r2_Im273,r2_Im339
61,r2_Im399,r1_Im142,r2_Im060
62,r2_Im383,r2_Im258,r1_Im047
63,r2_Im389,r2_Im317,r2_Im188
64,r2_Im263,r1_Im151,r2_Im355
65,r2_Im455,r2_Im448,r1_Im073
66,r2_Im344,r2_Im240,r2_Im034
67,r2_Im192,r2_Im176,r1_Im004
68,r1_Im029,r2_Im025,r2_Im414
69,r2_Im003,,r2_Im214
70,r2_Im042,,
71,r2_Im348,,
72,r2_Im376,,
73,r2_Im100,,
74,r2_Im246,,
75,r2_Im004,,
76,r2_Im393,,
