,slide_id
0,Case00_Site_A_slice00
1,Case00_Site_A_slice01
2,Case00_Site_A_slice02
3,Case00_Site_A_slice03
4,Case00_Site_A_slice04
5,Case00_Site_A_slice05
6,Case00_Site_A_slice06
7,Case00_Site_A_slice07
8,Case00_Site_A_slice08
9,Case00_Site_A_slice09
10,Case00_Site_A_slice10
11,Case00_Site_A_slice11
12,Case00_Site_A_slice12
13,Case00_Site_A_slice13
14,Case01_Site_A_slice00
15,Case01_Site_A_slice01
16,Case01_Site_A_slice02
17,Case01_Site_A_slice03
18,Case01_Site_A_slice04
19,Case01_Site_A_slice05
20,Case01_Site_A_slice06
21,Case01_Site_A_slice07
22,Case01_Site_A_slice08
23,Case01_Site_A_slice09
24,Case01_Site_A_slice10
25,Case01_Site_A_slice11
26,Case01_Site_A_slice12
27,Case01_Site_A_slice13
28,Case01_Site_A_slice14
29,Case02_Site_A_slice00
30,Case02_Site_A_slice01
31,Case02_Site_A_slice02
32,Case02_Site_A_slice03
33,Case02_Site_A_slice04
34,Case02_Site_A_slice05
35,Case02_Site_A_slice06
36,Case02_Site_A_slice07
37,Case02_Site_A_slice08
38,Case02_Site_A_slice09
39,Case02_Site_A_slice10
40,Case02_Site_A_slice11
41,Case02_Site_A_slice12
42,Case02_Site_A_slice13
43,Case02_Site_A_slice14
44,Case02_Site_A_slice15
45,Case02_Site_A_slice16
46,Case02_Site_A_slice17
47,Case03_Site_A_slice00
48,Case03_Site_A_slice01
49,Case03_Site_A_slice02
50,Case03_Site_A_slice03
51,Case03_Site_A_slice04
52,Case03_Site_A_slice05
53,Case03_Site_A_slice06
54,Case03_Site_A_slice07
55,Case03_Site_A_slice08
56,Case03_Site_A_slice09
57,Case03_Site_A_slice10
58,Case03_Site_A_slice11
59,Case03_Site_A_slice12
60,Case03_Site_A_slice13
61,Case04_Site_A_slice00
62,Case04_Site_A_slice01
63,Case04_Site_A_slice02
64,Case04_Site_A_slice03
65,Case04_Site_A_slice04
66,Case04_Site_A_slice05
67,Case04_Site_A_slice06
68,Case04_Site_A_slice07
69,Case04_Site_A_slice08
70,Case04_Site_A_slice09
71,Case04_Site_A_slice10
72,Case04_Site_A_slice11
73,Case04_Site_A_slice12
74,Case05_Site_A_slice00
75,Case05_Site_A_slice01
76,Case05_Site_A_slice02
77,Case05_Site_A_slice03
78,Case05_Site_A_slice04
79,Case05_Site_A_slice05
80,Case05_Site_A_slice06
81,Case05_Site_A_slice07
82,Case05_Site_A_slice08
83,Case05_Site_A_slice09
84,Case05_Site_A_slice10
85,Case05_Site_A_slice11
86,Case05_Site_A_slice12
87,Case05_Site_A_slice13
88,Case05_Site_A_slice14
89,Case06_Site_A_slice00
90,Case06_Site_A_slice01
91,Case06_Site_A_slice02
92,Case06_Site_A_slice03
93,Case06_Site_A_slice04
94,Case06_Site_A_slice05
95,Case06_Site_A_slice06
96,Case06_Site_A_slice07
97,Case06_Site_A_slice08
98,Case07_Site_A_slice00
99,Case07_Site_A_slice01
100,Case07_Site_A_slice02
101,Case07_Site_A_slice03
102,Case07_Site_A_slice04
103,Case07_Site_A_slice05
104,Case07_Site_A_slice06
105,Case07_Site_A_slice07
106,Case07_Site_A_slice08
107,Case07_Site_A_slice09
108,Case07_Site_A_slice10
109,Case08_Site_A_slice00
110,Case08_Site_A_slice01
111,Case08_Site_A_slice02
112,Case08_Site_A_slice03
113,Case08_Site_A_slice04
114,Case08_Site_A_slice05
115,Case08_Site_A_slice06
116,Case08_Site_A_slice07
117,Case08_Site_A_slice08
118,Case08_Site_A_slice09
119,Case08_Site_A_slice10
120,Case08_Site_A_slice11
121,Case08_Site_A_slice12
122,Case08_Site_A_slice13
123,Case08_Site_A_slice14
124,Case08_Site_A_slice15
125,Case08_Site_A_slice16
126,Case09_Site_A_slice00
127,Case09_Site_A_slice01
128,Case09_Site_A_slice02
129,Case09_Site_A_slice03
130,Case09_Site_A_slice04
