,train,val,test
0,Case10_Site_A_slice00,Case28_Site_A_slice00,Case04_Site_A_slice00
1,Case10_Site_A_slice01,Case28_Site_A_slice01,Case04_Site_A_slice01
2,Case10_Site_A_slice02,Case28_Site_A_slice02,Case04_Site_A_slice02
3,Case10_Site_A_slice03,Case28_Site_A_slice03,Case04_Site_A_slice03
4,Case10_Site_A_slice04,Case28_Site_A_slice04,Case04_Site_A_slice04
5,Case10_Site_A_slice05,Case28_Site_A_slice05,Case04_Site_A_slice05
6,Case10_Site_A_slice06,Case28_Site_A_slice06,Case04_Site_A_slice06
7,Case10_Site_A_slice07,Case28_Site_A_slice07,Case04_Site_A_slice07
8,Case10_Site_A_slice08,Case28_Site_A_slice08,Case04_Site_A_slice08
9,Case10_Site_A_slice09,Case28_Site_A_slice09,Case04_Site_A_slice09
10,Case10_Site_A_slice10,Case28_Site_A_slice10,Case04_Site_A_slice10
11,Case10_Site_A_slice11,Case28_Site_A_slice11,Case04_Site_A_slice11
12,Case12_Site_A_slice00,Case28_Site_A_slice12,Case04_Site_A_slice12
13,Case12_Site_A_slice01,Case28_Site_A_slice13,Case01_Site_A_slice00
14,Case12_Site_A_slice02,Case28_Site_A_slice14,Case01_Site_A_slice01
15,Case12_Site_A_slice03,Case28_Site_A_slice15,Case01_Site_A_slice02
16,Case12_Site_A_slice04,Case21_Site_A_slice00,Case01_Site_A_slice03
17,Case12_Site_A_slice05,Case21_Site_A_slice01,Case01_Site_A_slice04
18,Case12_Site_A_slice06,Case21_Site_A_slice02,Case01_Site_A_slice05
19,Case12_Site_A_slice07,Case21_Site_A_slice03,Case01_Site_A_slice06
20,Case12_Site_A_slice08,Case21_Site_A_slice04,Case01_Site_A_slice07
21,Case12_Site_A_slice09,Case21_Site_A_slice05,Case01_Site_A_slice08
22,Case12_Site_A_slice10,Case21_Site_A_slice06,Case01_Site_A_slice09
23,Case12_Site_A_slice11,Case21_Site_A_slice07,Case01_Site_A_slice10
24,Case12_Site_A_slice12,Case21_Site_A_slice08,Case01_Site_A_slice11
25,Case12_Site_A_slice13,Case21_Site_A_slice09,Case01_Site_A_slice12
26,Case26_Site_A_slice00,Case21_Site_A_slice10,Case01_Site_A_slice13
27,Case26_Site_A_slice01,Case21_Site_A_slice11,Case01_Site_A_slice14
28,Case26_Site_A_slice02,Case21_Site_A_slice12,Case25_Site_A_slice00
29,Case26_Site_A_slice03,Case22_Site_A_slice00,Case25_Site_A_slice01
30,Case26_Site_A_slice04,Case22_Site_A_slice01,Case25_Site_A_slice02
