,train,val,test
0,Case24_Site_B_slice00,Case00_Site_B_slice00,Case26_Site_B_slice00
1,Case24_Site_B_slice01,Case00_Site_B_slice01,Case26_Site_B_slice01
2,Case24_Site_B_slice02,Case00_Site_B_slice02,Case26_Site_B_slice02
3,Case24_Site_B_slice03,Case00_Site_B_slice03,Case26_Site_B_slice03
4,Case24_Site_B_slice04,Case00_Site_B_slice04,Case26_Site_B_slice04
5,Case24_Site_B_slice05,Case00_Site_B_slice05,Case26_Site_B_slice05
6,Case24_Site_B_slice06,Case00_Site_B_slice06,Case26_Site_B_slice06
7,Case24_Site_B_slice07,Case00_Site_B_slice07,Case26_Site_B_slice07
8,Case24_Site_B_slice08,Case00_Site_B_slice08,Case26_Site_B_slice08
9,Case24_Site_B_slice09,Case00_Site_B_slice09,Case26_Site_B_slice09
10,Case24_Site_B_slice10,Case00_Site_B_slice10,Case26_Site_B_slice10
11,Case24_Site_B_slice11,Case03_Site_B_slice00,Case26_Site_B_slice11
12,Case24_Site_B_slice12,Case03_Site_B_slice01,Case26_Site_B_slice12
13,Case12_Site_B_slice00,Case03_Site_B_slice02,Case26_Site_B_slice13
14,Case12_Site_B_slice01,Case03_Site_B_slice03,Case26_Site_B_slice14
15,Case12_Site_B_slice02,Case03_Site_B_slice04,Case26_Site_B_slice15
16,Case12_Site_B_slice03,Case03_Site_B_slice05,Case26_Site_B_slice16
17,Case12_Site_B_slice04,Case03_Site_B_slice06,Case26_Site_B_slice17
18,Case12_Site_B_slice05,Case03_Site_B_slice07,Case26_Site_B_slice18
19,Case12_Site_B_slice06,Case03_Site_B_slice08,Case14_Site_B_slice00
20,Case12_Site_B_slice07,Case03_Site_B_slice09,Case14_Site_B_slice01
21,Case12_Site_B_slice08,Case03_Site_B_slice10,Case14_Site_B_slice02
22,Case12_Site_B_slice09,Case03_Site_B_slice11,Case14_Site_B_slice03
23,Case12_Site_B_slice10,Case03_Site_B_slice12,Case14_Site_B_slice04
24,Case11_Site_B_slice00,Case03_Site_B_slice13,Case14_Site_B_slice05
25,Case11_Site_B_slice01,Case03_Site_B_slice14,Case14_Site_B_slice06
26,Case11_Site_B_slice02,Case10_Site_B_slice00,Case14_Site_B_slice07
27,Case11_Site_B_slice03,Case10_Site_B_slice01,Case14_Site_B_slice08
28,Case11_Site_B_slice04,Case10_Site_B_slice02,Case14_Site_B_slice09
29,Case11_Site_B_slice05,Case10_Site_B_slice03,Case14_Site_B_slice10
30,Case11_Site_B_slice06,Case10_Site_B_slice04,Case14_Site_B_slice11
31,Case11_Site_B_slice07,Case10_Site_B_slice05,Case27_Site_B_slice00
32,Case11_Site_B_slice08,Case10_Site_B_slice06,Case27_Site_B_slice01
33,Case11_Site_B_slice09,Case10_Site_B_slice07,Case27_Site_B_slice02
34,Case11_Site_B_slice10,Case10_Site_B_slice08,Case27_Site_B_slice03
35,Case11_Site_B_slice11,Case10_Site_B_slice09,Case27_Site_B_slice04
36,Case11_Site_B_slice12,Case10_Site_B_slice10,Case27_Site_B_slice05
37,Case11_Site_B_slice13,Case10_Site_B_slice11,Case27_Site_B_slice06
38,Case11_Site_B_slice14,Case10_Site_B_slice12,Case27_Site_B_slice07
39,Case13_Site_B_slice00,Case15_Site_B_slice00,Case27_Site_B_slice08
40,Case13_Site_B_slice01,Case15_Site_B_slice01,Case27_Site_B_slice09
41,Case13_Site_B_slice02,Case15_Site_B_slice02,Case27_Site_B_slice10
42,Case13_Site_B_slice03,Case15_Site_B_slice03,Case27_Site_B_slice11
43,Case13_Site_B_slice04,Case15_Site_B_slice04,Case27_Site_B_slice12
44,Case13_Site_B_slice05,Case15_Site_B_slice05,Case27_Site_B_slice13
45,Case13_Site_B_slice06,Case15_Site_B_slice06,Case27_Site_B_slice14
46,Case13_Site_B_slice07,Case15_Site_B_slice07,Case17_Site_B_slice00
47,Case13_Site_B_slice08,Case15_Site_B_slice08,Case17_Site_B_slice01
48,Case13_Site_B_slice09,Case15_Site_B_slice09,Case17_Site_B_slice02
49,Case18_Site_B_slice00,,Case17_Site_B_slice03
50,Case18_Site_B_slice01,,Case17_Site_B_slice04
51,Case18_Site_B_slice02,,Case17_Site_B_slice05
52,Case18_Site_B_slice03,,Case17_Site_B_slice06
53,Case18_Site_B_slice04,,Case17_Site_B_slice07
54,Case18_Site_B_slice05,,Case17_Site_B_slice08
55,Case18_Site_B_slice06,,Case17_Site_B_slice09
56,Case18_Site_B_slice07,,Case17_Site_B_slice10
57,Case18_Site_B_slice08,,Case17_Site_B_slice11
58,Case18_Site_B_slice09,,Case17_Site_B_slice12
59,Case02_Site_B_slice00,,Case17_Site_B_slice13
60,Case02_Site_B_slice01,,Case17_Site_B_slice14
61,Case02_Site_B_slice02,,Case17_Site_B_slice15
62,Case02_Site_B_slice03,,Case01_Site_B_slice00
63,Case02_Site_B_slice04,,Case01_Site_B_slice01
64,Case02_Site_B_slice05,,Case01_Site_B_slice02
65,Case02_Site_B_slice06,,Case01_Site_B_slice03
66,Case02_Site_B_slice07,,Case01_Site_B_slice04
67,Case02_Site_B_slice08,,Case01_Site_B_slice05
68,Case02_Site_B_slice09,,Case01_Site_B_slice06
69,Case02_Site_B_slice10,,Case01_Site_B_slice07
70,Case02_Site_B_slice11,,Case01_Site_B_slice08
71,Case02_Site_B_slice12,,Case01_Site_B_slice09
72,Case02_Site_B_slice13,,Case06_Site_B_slice00
73,Case02_Site_B_slice14,,Case06_Site_B_slice01
74,Case21_Site_B_slice00,,Case06_Site_B_slice02
75,Case21_Site_B_slice01,,Case06_Site_B_slice03
76,Case21_Site_B_slice02,,Case06_Site_B_slice04
77,Case21_Site_B_slice03,,Case06_Site_B_slice05
78,Case21_Site_B_slice04,,Case06_Site_B_slice06
79,Case21_Site_B_slice05,,Case06_Site_B_slice07
80,Case21_Site_B_slice06,,Case06_Site_B_slice08
