,slide_id
0,Case00_Site_C_slice00
1,Case00_Site_C_slice01
2,Case00_Site_C_slice02
3,Case00_Site_C_slice03
4,Case00_Site_C_slice04
5,Case00_Site_C_slice05
6,Case00_Site_C_slice06
7,Case00_Site_C_slice07
8,Case00_Site_C_slice08
9,Case00_Site_C_slice09
10,Case00_Site_C_slice10
11,Case00_Site_C_slice11
12,Case00_Site_C_slice12
13,Case00_Site_C_slice13
14,Case00_Site_C_slice14
15,Case00_Site_C_slice15
16,Case00_Site_C_slice16
17,Case00_Site_C_slice17
18,Case00_Site_C_slice18
19,Case00_Site_C_slice19
20,Case00_Site_C_slice20
21,Case00_Site_C_slice21
22,Case00_Site_C_slice22
23,Case00_Site_C_slice23
24,Case00_Site_C_slice24
25,Case00_Site_C_slice25
26,Case00_Site_C_slice26
27,Case00_Site_C_slice27
28,Case00_Site_C_slice28
29,Case00_Site_C_slice29
30,Case00_Site_C_slice30
31,Case01_Site_C_slice00
32,Case01_Site_C_slice01
33,Case01_Site_C_slice02
34,Case01_Site_C_slice03
35,Case01_Site_C_slice04
36,Case01_Site_C_slice05
37,Case01_Site_C_slice06
38,Case01_Site_C_slice07
39,Case01_Site_C_slice08
40,Case01_Site_C_slice09
41,Case01_Site_C_slice10
42,Case01_Site_C_slice11
43,Case01_Site_C_slice12
44,Case01_Site_C_slice13
45,Case01_Site_C_slice14
46,Case01_Site_C_slice15
47,Case01_Site_C_slice16
48,Case01_Site_C_slice17
49,Case01_Site_C_slice18
50,Case01_Site_C_slice19
51,Case01_Site_C_slice20
52,Case01_Site_C_slice21
53,Case01_Site_C_slice22
54,Case01_Site_C_slice23
55,Case01_Site_C_slice24
56,Case01_Site_C_slice25
57,Case01_Site_C_slice26
58,Case01_Site_C_slice27
59,Case02_Site_C_slice00
60,Case02_Site_C_slice01
61,Case02_Site_C_slice02
62,Case02_Site_C_slice03
63,Case02_Site_C_slice04
64,Case02_Site_C_slice05
65,Case02_Site_C_slice06
66,Case02_Site_C_slice07
67,Case02_Site_C_slice08
68,Case02_Site_C_slice09
69,Case02_Site_C_slice10
70,Case02_Site_C_slice11
71,Case02_Site_C_slice12
72,Case02_Site_C_slice13
73,Case02_Site_C_slice14
74,Case02_Site_C_slice15
75,Case02_Site_C_slice16
76,Case02_Site_C_slice17
77,Case03_Site_C_slice00
78,Case03_Site_C_slice01
79,Case03_Site_C_slice02
80,Case03_Site_C_slice03
81,Case03_Site_C_slice04
82,Case03_Site_C_slice05
83,Case03_Site_C_slice06
84,Case03_Site_C_slice07
85,Case03_Site_C_slice08
86,Case03_Site_C_slice09
87,Case03_Site_C_slice10
88,Case03_Site_C_slice11
89,Case03_Site_C_slice12
90,Case03_Site_C_slice13
91,Case03_Site_C_slice14
92,Case03_Site_C_slice15
93,Case03_Site_C_slice16
94,Case03_Site_C_slice17
95,Case03_Site_C_slice18
96,Case03_Site_C_slice19
97,Case03_Site_C_slice20
98,Case04_Site_C_slice00
99,Case04_Site_C_slice01
100,Case04_Site_C_slice02
101,Case04_Site_C_slice03
102,Case04_Site_C_slice04
103,Case04_Site_C_slice05
104,Case04_Site_C_slice06
105,Case04_Site_C_slice07
106,Case04_Site_C_slice08
107,Case04_Site_C_slice09
108,Case04_Site_C_slice10
109,Case04_Site_C_slice11
110,Case04_Site_C_slice12
111,Case04_Site_C_slice13
112,Case04_Site_C_slice14
113,Case04_Site_C_slice15
114,Case04_Site_C_slice16
115,Case04_Site_C_slice17
116,Case04_Site_C_slice18
117,Case04_Site_C_slice19
118,Case04_Site_C_slice20
119,Case04_Site_C_slice21
120,Case04_Site_C_slice22
