,train,val,test
0,Case12_Site_C_slice00,Case15_Site_C_slice00,Case00_Site_C_slice00
1,Case12_Site_C_slice01,Case15_Site_C_slice01,Case00_Site_C_slice01
2,Case12_Site_C_slice02,Case15_Site_C_slice02,Case00_Site_C_slice02
3,Case12_Site_C_slice03,Case15_Site_C_slice03,Case00_Site_C_slice03
4,Case12_Site_C_slice04,Case15_Site_C_slice04,Case00_Site_C_slice04
5,Case12_Site_C_slice05,Case15_Site_C_slice05,Case00_Site_C_slice05
6,Case12_Site_C_slice06,Case15_Site_C_slice06,Case00_Site_C_slice06
7,Case12_Site_C_slice07,Case15_Site_C_slice07,Case00_Site_C_slice07
8,Case12_Site_C_slice08,Case15_Site_C_slice08,Case00_Site_C_slice08
9,Case12_Site_C_slice09,Case15_Site_C_slice09,Case00_Site_C_slice09
10,Case12_Site_C_slice10,Case15_Site_C_slice10,Case00_Site_C_slice10
11,Case12_Site_C_slice11,Case15_Site_C_slice11,Case00_Site_C_slice11
12,Case12_Site_C_slice12,Case15_Site_C_slice12,Case00_Site_C_slice12
13,Case12_Site_C_slice13,Case15_Site_C_slice13,Case00_Site_C_slice13
14,Case12_Site_C_slice14,Case15_Site_C_slice14,Case00_Site_C_slice14
15,Case12_Site_C_slice15,Case15_Site_C_slice15,Case00_Site_C_slice15
16,Case12_Site_C_slice16,Case15_Site_C_slice16,Case00_Site_C_slice16
17,Case12_Site_C_slice17,Case15_Site_C_slice17,Case00_Site_C_slice17
18,Case12_Site_C_slice18,Case15_Site_C_slice18,Case00_Site_C_slice18
19,Case01_Site_C_slice00,Case15_Site_C_slice19,Case00_Site_C_slice19
20,Case01_Site_C_slice01,Case15_Site_C_slice20,Case00_Site_C_slice20
21,Case01_Site_C_slice02,Case15_Site_C_slice21,Case00_Site_C_slice21
22,Case01_Site_C_slice03,Case15_Site_C_slice22,Case00_Site_C_slice22
23,Case01_Site_C_slice04,Case15_Site_C_slice23,Case00_Site_C_slice23
24,Case01_Site_C_slice05,Case15_Site_C_slice24,Case00_Site_C_slice24
25,Case01_Site_C_slice06,Case15_Site_C_slice25,Case00_Site_C_slice25
26,Case01_Site_C_slice07,Case15_Site_C_slice26,Case00_Site_C_slice26
27,Case01_Site_C_slice08,Case15_Site_C_slice27,Case00_Site_C_slice27
28,Case01_Site_C_slice09,Case08_Site_C_slice00,Case00_Site_C_slice28
29,Case01_Site_C_slice10,Case08_Site_C_slice01,Case00_Site_C_slice29
30,Case01_Site_C_slice11,Case08_Site_C_slice02,Case00_Site_C_slice30
31,Case01_Site_C_slice12,Case08_Site_C_slice03,Case13_Site_C_slice00
32,Case01_Site_C_slice13,Case08_Site_C_slice04,Case13_Site_C_slice01
33,Case01_Site_C_slice14,Case08_Site_C_slice05,Case13_Site_C_slice02
34,Case01_Site_C_slice15,Case08_Site_C_slice06,Case13_Site_C_slice03
35,Case01_Site_C_slice16,Case08_Site_C_slice07,Case13_Site_C_slice04
36,Case01_Site_C_slice17,Case08_Site_C_slice08,Case13_Site_C_slice05
37,Case01_Site_C_slice18,Case08_Site_C_slice09,Case13_Site_C_slice06
38,Case01_Site_C_slice19,Case08_Site_C_slice10,Case13_Site_C_slice07
39,Case01_Site_C_slice20,Case08_Site_C_slice11,Case13_Site_C_slice08
40,Case01_Site_C_slice21,Case08_Site_C_slice12,Case13_Site_C_slice09
41,Case01_Site_C_slice22,Case08_Site_C_slice13,Case13_Site_C_slice10
42,Case01_Site_C_slice23,Case08_Site_C_slice14,Case13_Site_C_slice11
43,Case01_Site_C_slice24,Case08_Site_C_slice15,Case13_Site_C_slice12
44,Case01_Site_C_slice25,Case08_Site_C_slice16,Case13_Site_C_slice13
45,Case01_Site_C_slice26,Case08_Site_C_slice17,Case13_Site_C_slice14
46,Case01_Site_C_slice27,Case08_Site_C_slice18,Case13_Site_C_slice15
47,Case10_Site_C_slice00,Case08_Site_C_slice19,Case13_Site_C_slice16
48,Case10_Site_C_slice01,Case08_Site_C_slice20,Case13_Site_C_slice17
49,Case10_Site_C_slice02,Case08_Site_C_slice21,Case13_Site_C_slice18
50,Case10_Site_C_slice03,Case08_Site_C_slice22,Case13_Site_C_slice19
51,Case10_Site_C_slice04,Case08_Site_C_slice23,Case13_Site_C_slice20
52,Case10_Site_C_slice05,Case08_Site_C_slice24,Case13_Site_C_slice21
53,Case10_Site_C_slice06,Case08_Site_C_slice25,Case13_Site_C_slice22
54,Case10_Site_C_slice07,,Case13_Site_C_slice23
55,Case10_Site_C_slice08,,Case06_Site_C_slice00
56,Case10_Site_C_slice09,,Case06_Site_C_slice01
57,Case10_Site_C_slice10,,Case06_Site_C_slice02
58,Case10_Site_C_slice11,,Case06_Site_C_slice03
59,Case10_Site_C_slice12,,Case06_Site_C_slice04
60,Case10_Site_C_slice13,,Case06_Site_C_slice05
61,Case10_Site_C_slice14,,Case06_Site_C_slice06
62,Case10_Site_C_slice15,,Case06_Site_C_slice07
63,Case10_Site_C_slice16,,Case06_Site_C_slice08
64,Case10_Site_C_slice17,,Case06_Site_C_slice09
65,Case10_Site_C_slice18,,Case06_Site_C_slice10
66,Case10_Site_C_slice19,,Case06_Site_C_slice11
67,Case10_Site_C_slice20,,Case06_Site_C_slice12
68,Case09_Site_C_slice00,,Case06_Site_C_slice13
69,Case09_Site_C_slice01,,Case06_Site_C_slice14
70,Case09_Site_C_slice02,,Case06_Site_C_slice15
71,Case09_Site_C_slice03,,Case06_Site_C_slice16
72,Case09_Site_C_slice04,,Case06_Site_C_slice17
73,Case09_Site_C_slice05,,Case06_Site_C_slice18
74,Case09_Site_C_slice06,,Case06_Site_C_slice19
75,Case09_Site_C_slice07,,Case06_Site_C_slice20
76,Case09_Site_C_slice08,,Case06_Site_C_slice21
77,Case09_Site_C_slice09,,Case06_Site_C_slice22
78,Case09_Site_C_slice10,,Case06_Site_C_slice23
79,Case09_Site_C_slice11,,Case04_Site_C_slice00
80,Case09_Site_C_slice12,,Case04_Site_C_slice01
81,Case09_Site_C_slice13,,Case04_Site_C_slice02
82,Case09_Site_C_slice14,,Case04_Site_C_slice03
83,Case09_Site_C_slice15,,Case04_Site_C_slice04
84,Case09_Site_C_slice16,,Case04_Site_C_slice05
85,Case09_Site_C_slice17,,Case04_Site_C_slice06
86,Case09_Site_C_slice18,,Case04_Site_C_slice07
87,Case09_Site_C_slice19,,Case04_Site_C_slice08
88,Case09_Site_C_slice20,,Case04_Site_C_slice09
89,Case09_Site_C_slice21,,Case04_Site_C_slice10
90,Case09_Site_C_slice22,,Case04_Site_C_slice11
91,Case09_Site_C_slice23,,Case04_Site_C_slice12
92,Case09_Site_C_slice24,,Case04_Site_C_slice13
93,Case09_Site_C_slice25,,Case04_Site_C_slice14
94,Case09_Site_C_slice26,,Case04_Site_C_slice15
95,Case09_Site_C_slice27,,Case04_Site_C_slice16
96,Case09_Site_C_slice28,,Case04_Site_C_slice17
97,Case09_Site_C_slice29,,Case04_Site_C_slice18
98,Case09_Site_C_slice30,,Case04_Site_C_slice19
99,Case09_Site_C_slice31,,Case04_Site_C_slice20
100,Case14_Site_C_slice00,,Case04_Site_C_slice21
101,Case14_Site_C_slice01,,Case04_Site_C_slice22
102,Case14_Site_C_slice02,,Case04_Site_C_slice23
103,Case14_Site_C_slice03,,Case04_Site_C_slice24
104,Case14_Site_C_slice04,,Case11_Site_C_slice00
105,Case14_Site_C_slice05,,Case11_Site_C_slice01
106,Case14_Site_C_slice06,,Case11_Site_C_slice02
107,Case14_Site_C_slice07,,Case11_Site_C_slice03
108,Case14_Site_C_slice08,,Case11_Site_C_slice04
109,Case14_Site_C_slice09,,Case11_Site_C_slice05
110,Case14_Site_C_slice10,,Case11_Site_C_slice06
111,Case14_Site_C_slice11,,Case11_Site_C_slice07
112,Case14_Site_C_slice12,,Case11_Site_C_slice08
113,Case14_Site_C_slice13,,Case11_Site_C_slice09
114,Case14_Site_C_slice14,,Case11_Site_C_slice10
115,Case14_Site_C_slice15,,Case11_Site_C_slice11
116,Case14_Site_C_slice16,,Case11_Site_C_slice12
117,Case14_Site_C_slice17,,Case11_Site_C_slice13
118,Case17_Site_C_slice00,,Case11_Site_C_slice14
119,Case17_Site_C_slice01,,Case11_Site_C_slice15
120,Case17_Site_C_slice02,,Case11_Site_C_slice16
121,Case17_Site_C_slice03,,Case11_Site_C_slice17
122,Case17_Site_C_slice04,,Case11_Site_C_slice18
123,Case17_Site_C_slice05,,Case11_Site_C_slice19
124,Case17_Site_C_slice06,,Case11_Site_C_slice20
125,Case17_Site_C_slice07,,Case11_Site_C_slice21
126,Case17_Site_C_slice08,,Case11_Site_C_slice22
127,Case17_Site_C_slice09,,Case11_Site_C_slice23
128,Case17_Site_C_slice10,,Case11_Site_C_slice24
129,Case17_Site_C_slice11,,Case11_Site_C_slice25
130,Case17_Site_C_slice12,,Case11_Site_C_slice26
131,Case17_Site_C_slice13,,Case02_Site_C_slice00
132,Case17_Site_C_slice14,,Case02_Site_C_slice01
133,Case17_Site_C_slice15,,Case02_Site_C_slice02
134,Case17_Site_C_slice16,,Case02_Site_C_slice03
135,Case17_Site_C_slice17,,Case02_Site_C_slice04
136,Case17_Site_C_slice18,,Case02_Site_C_slice05
137,Case17_Site_C_slice19,,Case02_Site_C_slice06
138,Case17_Site_C_slice20,,Case02_Site_C_slice07
139,Case17_Site_C_slice21,,Case02_Site_C_slice08
140,Case17_Site_C_slice22,,Case02_Site_C_slice09
141,Case03_Site_C_slice00,,Case02_Site_C_slice10
142,Case03_Site_C_slice01,,Case02_Site_C_slice11
143,Case03_Site_C_slice02,,Case02_Site_C_slice12
144,Case03_Site_C_slice03,,Case02_Site_C_slice13
145,Case03_Site_C_slice04,,Case02_Site_C_slice14
146,Case03_Site_C_slice05,,Case02_Site_C_slice15
147,Case03_Site_C_slice06,,Case02_Site_C_slice16
148,Case03_Site_C_slice07,,Case02_Site_C_slice17
149,Case03_Site_C_slice08,,
150,Case03_Site_C_slice09,,
151,Case03_Site_C_slice10,,
152,Case03_Site_C_slice11,,
153,Case03_Site_C_slice12,,
154,Case03_Site_C_slice13,,
155,Case03_Site_C_slice14,,
156,Case03_Site_C_slice15,,
157,Case03_Site_C_slice16,,
158,Case03_Site_C_slice17,,
159,Case03_Site_C_slice18,,
160,Case03_Site_C_slice19,,
161,Case03_Site_C_slice20,,
162,Case16_Site_C_slice00,,
163,Case16_Site_C_slice01,,
164,Case16_Site_C_slice02,,
165,Case16_Site_C_slice03,,
166,Case16_Site_C_slice04,,
167,Case16_Site_C_slice05,,
168,Case16_Site_C_slice06,,
169,Case16_Site_C_slice07,,
170,Case16_Site_C_slice08,,
171,Case16_Site_C_slice09,,
172,Case16_Site_C_slice10,,
173,Case16_Site_C_slice11,,
174,Case16_Site_C_slice12,,
175,Case16_Site_C_slice13,,
176,Case16_Site_C_slice14,,
177,Case16_Site_C_slice15,,
178,Case16_Site_C_slice16,,
179,Case16_Site_C_slice17,,
180,Case16_Site_C_slice18,,
181,Case16_Site_C_slice19,,
182,Case16_Site_C_slice20,,
183,Case16_Site_C_slice21,,
184,Case16_Site_C_slice22,,
185,Case16_Site_C_slice23,,
186,Case16_Site_C_slice24,,
187,Case16_Site_C_slice25,,
188,Case16_Site_C_slice26,,
189,Case16_Site_C_slice27,,
190,Case16_Site_C_slice28,,
191,Case16_Site_C_slice29,,
192,Case16_Site_C_slice30,,
193,Case07_Site_C_slice00,,
194,Case07_Site_C_slice01,,
195,Case07_Site_C_slice02,,
196,Case07_Site_C_slice03,,
197,Case07_Site_C_slice04,,
198,Case07_Site_C_slice05,,
199,Case07_Site_C_slice06,,
200,Case07_Site_C_slice07,,
201,Case07_Site_C_slice08,,
202,Case07_Site_C_slice09,,
203,Case07_Site_C_slice10,,
204,Case07_Site_C_slice11,,
205,Case07_Site_C_slice12,,
206,Case07_Site_C_slice13,,
207,Case07_Site_C_slice14,,
208,Case07_Site_C_slice15,,
209,Case07_Site_C_slice16,,
210,Case05_Site_C_slice00,,
211,Case05_Site_C_slice01,,
212,Case05_Site_C_slice02,,
213,Case05_Site_C_slice03,,
214,Case05_Site_C_slice04,,
215,Case05_Site_C_slice05,,
216,Case05_Site_C_slice06,,
217,Case05_Site_C_slice07,,
218,Case05_Site_C_slice08,,
219,Case05_Site_C_slice09,,
220,Case05_Site_C_slice10,,
221,Case05_Site_C_slice11,,
222,Case05_Site_C_slice12,,
223,Case05_Site_C_slice13,,
224,Case05_Site_C_slice14,,
225,Case05_Site_C_slice15,,
226,Case05_Site_C_slice16,,
227,Case05_Site_C_slice17,,
228,Case05_Site_C_slice18,,
229,Case05_Site_C_slice19,,
230,Case05_Site_C_slice20,,
231,Case05_Site_C_slice21,,
232,Case05_Site_C_slice22,,
233,Case05_Site_C_slice23,,
234,Case05_Site_C_slice24,,
235,Case05_Site_C_slice25,,
236,Case05_Site_C_slice26,,
237,Case05_Site_C_slice27,,
238,Case05_Site_C_slice28,,
239,Case05_Site_C_slice29,,
240,Case18_Site_C_slice00,,
241,Case18_Site_C_slice01,,
242,Case18_Site_C_slice02,,
243,Case18_Site_C_slice03,,
244,Case18_Site_C_slice04,,
245,Case18_Site_C_slice05,,
246,Case18_Site_C_slice06,,
247,Case18_Site_C_slice07,,
248,Case18_Site_C_slice08,,
249,Case18_Site_C_slice09,,
250,Case18_Site_C_slice10,,
251,Case18_Site_C_slice11,,
252,Case18_Site_C_slice12,,
253,Case18_Site_C_slice13,,
254,Case18_Site_C_slice14,,
255,Case18_Site_C_slice15,,
256,Case18_Site_C_slice16,,
257,Case18_Site_C_slice17,,
258,Case18_Site_C_slice18,,
259,Case18_Site_C_slice19,,
260,Case18_Site_C_slice20,,
261,Case18_Site_C_slice21,,
262,Case18_Site_C_slice22,,
263,Case18_Site_C_slice23,,
264,Case18_Site_C_slice24,,
