,slide_id
0,Case01_Site_D_slice00
1,Case01_Site_D_slice01
2,Case01_Site_D_slice02
3,Case01_Site_D_slice03
4,Case01_Site_D_slice04
5,Case01_Site_D_slice05
6,Case01_Site_D_slice06
7,Case01_Site_D_slice07
8,Case01_Site_D_slice08
9,Case01_Site_D_slice09
10,Case01_Site_D_slice10
11,Case01_Site_D_slice11
12,Case01_Site_D_slice12
13,Case26_Site_D_slice00
14,Case26_Site_D_slice01
15,Case26_Site_D_slice02
16,Case26_Site_D_slice03
17,Case26_Site_D_slice04
18,Case26_Site_D_slice05
19,Case26_Site_D_slice06
20,Case26_Site_D_slice07
21,Case26_Site_D_slice08
22,Case26_Site_D_slice09
23,Case26_Site_D_slice10
24,Case26_Site_D_slice11
25,Case26_Site_D_slice12
26,Case26_Site_D_slice13
27,Case26_Site_D_slice14
28,Case26_Site_D_slice15
29,Case27_Site_D_slice00
30,Case27_Site_D_slice01
31,Case27_Site_D_slice02
32,Case27_Site_D_slice03
33,Case27_Site_D_slice04
34,Case27_Site_D_slice05
35,Case27_Site_D_slice06
36,Case27_Site_D_slice07
37,Case27_Site_D_slice08
38,Case27_Site_D_slice09
39,Case27_Site_D_slice10
40,Case27_Site_D_slice11
41,Case28_Site_D_slice00
42,Case28_Site_D_slice01
43,Case28_Site_D_slice02
44,Case28_Site_D_slice03
45,Case28_Site_D_slice04
46,Case28_Site_D_slice05
47,Case28_Site_D_slice06
48,Case28_Site_D_slice07
49,Case28_Site_D_slice08
50,Case28_Site_D_slice09
51,Case28_Site_D_slice10
52,Case28_Site_D_slice11
53,Case28_Site_D_slice12
54,Case28_Site_D_slice13
55,Case29_Site_D_slice00
56,Case29_Site_D_slice01
57,Case29_Site_D_slice02
58,Case29_Site_D_slice03
59,Case29_Site_D_slice04
60,Case29_Site_D_slice05
61,Case29_Site_D_slice06
62,Case29_Site_D_slice07
63,Case29_Site_D_slice08
64,Case29_Site_D_slice09
65,Case29_Site_D_slice10
66,Case29_Site_D_slice11
67,Case29_Site_D_slice12
68,Case29_Site_D_slice13
69,Case29_Site_D_slice14
70,Case29_Site_D_slice15
71,Case30_Site_D_slice00
72,Case30_Site_D_slice01
73,Case30_Site_D_slice02
74,Case30_Site_D_slice03
75,Case30_Site_D_slice04
76,Case30_Site_D_slice05
77,Case30_Site_D_slice06
78,Case30_Site_D_slice07
79,Case30_Site_D_slice08
80,Case30_Site_D_slice09
81,Case30_Site_D_slice10
82,Case30_Site_D_slice11
83,Case30_Site_D_slice12
84,Case31_Site_D_slice00
85,Case31_Site_D_slice01
86,Case31_Site_D_slice02
87,Case31_Site_D_slice03
88,Case31_Site_D_slice04
89,Case31_Site_D_slice05
90,Case31_Site_D_slice06
91,Case31_Site_D_slice07
92,Case31_Site_D_slice08
93,Case31_Site_D_slice09
94,Case31_Site_D_slice10
95,Case31_Site_D_slice11
96,Case31_Site_D_slice12
97,Case31_Site_D_slice13
98,Case31_Site_D_slice14
99,Case31_Site_D_slice15
100,Case31_Site_D_slice16
101,Case32_Site_D_slice00
102,Case32_Site_D_slice01
103,Case32_Site_D_slice02
104,Case32_Site_D_slice03
105,Case32_Site_D_slice04
106,Case32_Site_D_slice05
107,Case32_Site_D_slice06
108,Case32_Site_D_slice07
109,Case32_Site_D_slice08
110,Case32_Site_D_slice09
111,Case32_Site_D_slice10
112,Case33_Site_D_slice00
113,Case33_Site_D_slice01
114,Case33_Site_D_slice02
115,Case33_Site_D_slice03
116,Case33_Site_D_slice04
117,Case33_Site_D_slice05
118,Case33_Site_D_slice06
119,Case33_Site_D_slice07
120,Case33_Site_D_slice08
121,Case33_Site_D_slice09
122,Case33_Site_D_slice10
123,Case33_Site_D_slice11
124,Case33_Site_D_slice12
125,Case34_Site_D_slice00
126,Case34_Site_D_slice01
127,Case34_Site_D_slice02
128,Case34_Site_D_slice03
129,Case34_Site_D_slice04
130,Case34_Site_D_slice05
131,Case34_Site_D_slice06
132,Case34_Site_D_slice07
133,Case34_Site_D_slice08
134,Case34_Site_D_slice09
135,Case34_Site_D_slice10
136,Case35_Site_D_slice00
137,Case35_Site_D_slice01
138,Case35_Site_D_slice02
139,Case35_Site_D_slice03
140,Case35_Site_D_slice04
141,Case35_Site_D_slice05
142,Case35_Site_D_slice06
143,Case35_Site_D_slice07
144,Case35_Site_D_slice08
145,Case35_Site_D_slice09
146,Case35_Site_D_slice10
147,Case35_Site_D_slice11
148,Case35_Site_D_slice12
149,Case35_Site_D_slice13
150,Case36_Site_D_slice00
151,Case36_Site_D_slice01
152,Case36_Site_D_slice02
153,Case36_Site_D_slice03
154,Case36_Site_D_slice04
155,Case36_Site_D_slice05
156,Case36_Site_D_slice06
157,Case36_Site_D_slice07
158,Case36_Site_D_slice08
159,Case36_Site_D_slice09
160,Case36_Site_D_slice10
161,Case36_Site_D_slice11
162,Case37_Site_D_slice00
163,Case37_Site_D_slice01
164,Case37_Site_D_slice02
165,Case37_Site_D_slice03
166,Case37_Site_D_slice04
167,Case37_Site_D_slice05
168,Case37_Site_D_slice06
169,Case37_Site_D_slice07
170,Case37_Site_D_slice08
171,Case37_Site_D_slice09
172,Case37_Site_D_slice10
173,Case37_Site_D_slice11
174,Case37_Site_D_slice12
