,train,val,test
0,Case30_Site_D_slice00,Case28_Site_D_slice00,Case01_Site_D_slice00
1,Case30_Site_D_slice01,Case28_Site_D_slice01,Case01_Site_D_slice01
2,Case30_Site_D_slice02,Case28_Site_D_slice02,Case01_Site_D_slice02
3,Case30_Site_D_slice03,Case28_Site_D_slice03,Case01_Site_D_slice03
4,Case30_Site_D_slice04,Case28_Site_D_slice04,Case01_Site_D_slice04
5,Case30_Site_D_slice05,Case28_Site_D_slice05,Case01_Site_D_slice05
6,Case30_Site_D_slice06,Case28_Site_D_slice06,Case01_Site_D_slice06
7,Case30_Site_D_slice07,Case28_Site_D_slice07,Case01_Site_D_slice07
8,Case30_Site_D_slice08,Case28_Site_D_slice08,Case01_Site_D_slice08
9,Case30_Site_D_slice09,Case28_Site_D_slice09,Case01_Site_D_slice09
10,Case30_Site_D_slice10,Case28_Site_D_slice10,Case01_Site_D_slice10
11,Case30_Site_D_slice11,Case28_Site_D_slice11,Case01_Site_D_slice11
12,Case30_Site_D_slice12,Case28_Site_D_slice12,Case01_Site_D_slice12
13,Case36_Site_D_slice00,Case28_Site_D_slice13,Case34_Site_D_slice00
14,Case36_Site_D_slice01,,Case34_Site_D_slice01
15,Case36_Site_D_slice02,,Case34_Site_D_slice02
16,Case36_Site_D_slice03,,Case34_Site_D_slice03
17,Case36_Site_D_slice04,,Case34_Site_D_slice04
18,Case36_Site_D_slice05,,Case34_Site_D_slice05
19,Case36_Site_D_slice06,,Case34_Site_D_slice06
20,Case36_Site_D_slice07,,Case34_Site_D_slice07
21,Case36_Site_D_slice08,,Case34_Site_D_slice08
22,Case36_Site_D_slice09,,Case34_Site_D_slice09
23,Case36_Site_D_slice10,,Case34_Site_D_slice10
24,Case36_Site_D_slice11,,Case35_Site_D_slice00
25,Case29_Site_D_slice00,,Case35_Site_D_slice01
26,Case29_Site_D_slice01,,Case35_Site_D_slice02
27,Case29_Site_D_slice02,,Case35_Site_D_slice03
28,Case29_Site_D_slice03,,Case35_Site_D_slice04
29,Case29_Site_D_slice04,,Case35_Site_D_slice05
30,Case29_Site_D_slice05,,Case35_Site_D_slice06
31,Case29_Site_D_slice06,,Case35_Site_D_slice07
32,Case29_Site_D_slice07,,Case35_Site_D_slice08
33,Case29_Site_D_slice08,,Case35_Site_D_slice09
34,Case29_Site_D_slice09,,Case35_Site_D_slice10
35,Case29_Site_D_slice10,,Case35_Site_D_slice11
36,Case29_Site_D_slice11,,Case35_Site_D_slice12
37,Case29_Site_D_slice12,,Case35_Site_D_slice13
38,Case29_Site_D_slice13,,Case37_Site_D_slice00
39,Case29_Site_D_slice14,,Case37_Site_D_slice01
40,Case29_Site_D_slice15,,Case37_Site_D_slice02
41,Case31_Site_D_slice00,,Case37_Site_D_slice03
42,Case31_Site_D_slice01,,Case37_Site_D_slice04
43,Case31_Site_D_slice02,,Case37_Site_D_slice05
44,Case31_Site_D_slice03,,Case37_Site_D_slice06
45,Case31_Site_D_slice04,,Case37_Site_D_slice07
46,Case31_Site_D_slice05,,Case37_Site_D_slice08
47,Case31_Site_D_slice06,,Case37_Site_D_slice09
48,Case31_Site_D_slice07,,Case37_Site_D_slice10
49,Case31_Site_D_slice08,,Case37_Site_D_slice11
50,Case31_Site_D_slice09,,Case37_Site_D_slice12
51,Case31_Site_D_slice10,,Case32_Site_D_slice00
52,Case31_Site_D_slice11,,Case32_Site_D_slice01
53,Case31_Site_D_slice12,,Case32_Site_D_slice02
54,Case31_Site_D_slice13,,Case32_Site_D_slice03
55,Case31_Site_D_slice14,,Case32_Site_D_slice04
56,Case31_Site_D_slice15,,Case32_Site_D_slice05
57,Case31_Site_D_slice16,,Case32_Site_D_slice06
58,Case33_Site_D_slice00,,Case32_Site_D_slice07
59,Case33_Site_D_slice01,,Case32_Site_D_slice08
60,Case33_Site_D_slice02,,Case32_Site_D_slice09
61,Case33_Site_D_slice03,,Case32_Site_D_slice10
62,Case33_Site_D_slice04,,
63,Case33_Site_D_slice05,,
64,Case33_Site_D_slice06,,
65,Case33_Site_D_slice07,,
66,Case33_Site_D_slice08,,
67,Case33_Site_D_slice09,,
68,Case33_Site_D_slice10,,
69,Case33_Site_D_slice11,,
70,Case33_Site_D_slice12,,
71,Case26_Site_D_slice00,,
72,Case26_Site_D_slice01,,
73,Case26_Site_D_slice02,,
74,Case26_Site_D_slice03,,
75,Case26_Site_D_slice04,,
76,Case26_Site_D_slice05,,
77,Case26_Site_D_slice06,,
78,Case26_Site_D_slice07,,
79,Case26_Site_D_slice08,,
80,Case26_Site_D_slice09,,
81,Case26_Site_D_slice10,,
82,Case26_Site_D_slice11,,
83,Case26_Site_D_slice12,,
84,Case26_Site_D_slice13,,
85,Case26_Site_D_slice14,,
86,Case26_Site_D_slice15,,
87,Case27_Site_D_slice00,,
88,Case27_Site_D_slice01,,
89,Case27_Site_D_slice02,,
90,Case27_Site_D_slice03,,
91,Case27_Site_D_slice04,,
92,Case27_Site_D_slice05,,
93,Case27_Site_D_slice06,,
94,Case27_Site_D_slice07,,
95,Case27_Site_D_slice08,,
96,Case27_Site_D_slice09,,
97,Case27_Site_D_slice10,,
98,Case27_Site_D_slice11,,
