,slide_id
0,Case00_Site_E_slice00
1,Case00_Site_E_slice01
2,Case00_Site_E_slice02
3,Case00_Site_E_slice03
4,Case00_Site_E_slice04
5,Case00_Site_E_slice05
6,Case00_Site_E_slice06
7,Case00_Site_E_slice07
8,Case00_Site_E_slice08
9,Case00_Site_E_slice09
10,Case00_Site_E_slice10
11,Case00_Site_E_slice11
12,Case00_Site_E_slice12
13,Case00_Site_E_slice13
14,Case00_Site_E_slice14
15,Case00_Site_E_slice15
16,Case00_Site_E_slice16
17,Case00_Site_E_slice17
18,Case00_Site_E_slice18
19,Case00_Site_E_slice19
20,Case00_Site_E_slice20
21,Case00_Site_E_slice21
22,Case00_Site_E_slice22
23,Case00_Site_E_slice23
24,Case00_Site_E_slice24
25,Case02_Site_E_slice00
26,Case02_Site_E_slice01
27,Case02_Site_E_slice02
28,Case02_Site_E_slice03
29,Case02_Site_E_slice04
30,Case02_Site_E_slice05
31,Case02_Site_E_slice06
32,Case02_Site_E_slice07
33,Case02_Site_E_slice08
34,Case02_Site_E_slice09
35,Case02_Site_E_slice10
36,Case02_Site_E_slice11
37,Case02_Site_E_slice12
38,Case02_Site_E_slice13
39,Case02_Site_E_slice14
40,Case02_Site_E_slice15
41,Case02_Site_E_slice16
42,Case02_Site_E_slice17
43,Case02_Site_E_slice18
44,Case02_Site_E_slice19
45,Case03_Site_E_slice00
46,Case03_Site_E_slice01
47,Case03_Site_E_slice02
48,Case03_Site_E_slice03
49,Case03_Site_E_slice04
50,Case03_Site_E_slice05
51,Case03_Site_E_slice06
52,Case03_Site_E_slice07
53,Case03_Site_E_slice08
54,Case03_Site_E_slice09
55,Case03_Site_E_slice10
56,Case03_Site_E_slice11
57,Case03_Site_E_slice12
58,Case03_Site_E_slice13
59,Case03_Site_E_slice14
60,Case03_Site_E_slice15
61,Case03_Site_E_slice16
62,Case03_Site_E_slice17
63,Case03_Site_E_slice18
64,Case04_Site_E_slice00
65,Case04_Site_E_slice01
66,Case04_Site_E_slice02
67,Case04_Site_E_slice03
68,Case04_Site_E_slice04
69,Case04_Site_E_slice05
70,Case04_Site_E_slice06
71,Case04_Site_E_slice07
72,Case04_Site_E_slice08
73,Case04_Site_E_slice09
74,Case04_Site_E_slice10
75,Case04_Site_E_slice11
76,Case04_Site_E_slice12
77,Case04_Site_E_slice13
78,Case04_Site_E_slice14
79,Case04_Site_E_slice15
80,Case04_Site_E_slice16
81,Case04_Site_E_slice17
82,Case04_Site_E_slice18
83,Case04_Site_E_slice19
84,Case04_Site_E_slice20
85,Case04_Site_E_slice21
86,Case04_Site_E_slice22
87,Case04_Site_E_slice23
88,Case05_Site_E_slice00
89,Case05_Site_E_slice01
90,Case05_Site_E_slice02
91,Case05_Site_E_slice03
92,Case05_Site_E_slice04
93,Case05_Site_E_slice05
94,Case05_Site_E_slice06
95,Case05_Site_E_slice07
96,Case05_Site_E_slice08
97,Case05_Site_E_slice09
98,Case05_Site_E_slice10
99,Case05_Site_E_slice11
100,Case05_Site_E_slice12
101,Case05_Site_E_slice13
102,Case05_Site_E_slice14
103,Case05_Site_E_slice15
104,Case05_Site_E_slice16
105,Case05_Site_E_slice17
106,Case05_Site_E_slice18
107,Case05_Site_E_slice19
108,Case05_Site_E_slice20
109,Case05_Site_E_slice21
110,Case05_Site_E_slice22
111,Case05_Site_E_slice23
112,Case05_Site_E_slice24
113,Case05_Site_E_slice25
114,Case06_Site_E_slice00
115,Case06_Site_E_slice01
116,Case06_Site_E_slice02
117,Case06_Site_E_slice03
118,Case06_Site_E_slice04
119,Case06_Site_E_slice05
120,Case06_Site_E_slice06
121,Case06_Site_E_slice07
122,Case06_Site_E_slice08
123,Case06_Site_E_slice09
124,Case06_Site_E_slice10
125,Case06_Site_E_slice11
126,Case06_Site_E_slice12
127,Case06_Site_E_slice13
128,Case06_Site_E_slice14
129,Case06_Site_E_slice15
130,Case06_Site_E_slice16
131,Case06_Site_E_slice17
132,Case06_Site_E_slice18
133,Case06_Site_E_slice19
134,Case06_Site_E_slice20
135,Case06_Site_E_slice21
136,Case06_Site_E_slice22
137,Case06_Site_E_slice23
138,Case06_Site_E_slice24
139,Case06_Site_E_slice25
140,Case06_Site_E_slice26
141,Case06_Site_E_slice27
142,Case06_Site_E_slice28
143,Case07_Site_E_slice00
144,Case07_Site_E_slice01
145,Case07_Site_E_slice02
146,Case07_Site_E_slice03
147,Case07_Site_E_slice04
148,Case07_Site_E_slice05
149,Case07_Site_E_slice06
150,Case07_Site_E_slice07
151,Case07_Site_E_slice08
152,Case07_Site_E_slice09
153,Case07_Site_E_slice10
154,Case07_Site_E_slice11
155,Case07_Site_E_slice12
156,Case07_Site_E_slice13
157,Case07_Site_E_slice14
158,Case07_Site_E_slice15
159,Case08_Site_E_slice00
160,Case08_Site_E_slice01
161,Case08_Site_E_slice02
162,Case08_Site_E_slice03
163,Case08_Site_E_slice04
164,Case08_Site_E_slice05
165,Case08_Site_E_slice06
166,Case08_Site_E_slice07
167,Case08_Site_E_slice08
168,Case08_Site_E_slice09
169,Case08_Site_E_slice10
170,Case08_Site_E_slice11
171,Case08_Site_E_slice12
172,Case08_Site_E_slice13
173,Case08_Site_E_slice14
174,Case08_Site_E_slice15
175,Case09_Site_E_slice00
176,Case09_Site_E_slice01
177,Case09_Site_E_slice02
178,Case09_Site_E_slice03
179,Case09_Site_E_slice04
180,Case09_Site_E_slice05
181,Case09_Site_E_slice06
182,Case09_Site_E_slice07
183,Case09_Site_E_slice08
184,Case09_Site_E_slice09
185,Case09_Site_E_slice10
186,Case09_Site_E_slice11
187,Case09_Site_E_slice12
188,Case09_Site_E_slice13
189,Case09_Site_E_slice14
190,Case09_Site_E_slice15
191,Case09_Site_E_slice16
192,Case09_Site_E_slice17
193,Case09_Site_E_slice18
194,Case09_Site_E_slice19
195,Case09_Site_E_slice20
196,Case09_Site_E_slice21
197,Case09_Site_E_slice22
198,Case09_Site_E_slice23
199,Case09_Site_E_slice24
200,Case09_Site_E_slice25
201,Case10_Site_E_slice00
202,Case10_Site_E_slice01
203,Case10_Site_E_slice02
204,Case10_Site_E_slice03
205,Case10_Site_E_slice04
206,Case10_Site_E_slice05
207,Case10_Site_E_slice06
208,Case10_Site_E_slice07
209,Case10_Site_E_slice08
210,Case10_Site_E_slice09
211,Case10_Site_E_slice10
212,Case10_Site_E_slice11
213,Case10_Site_E_slice12
214,Case10_Site_E_slice13
215,Case10_Site_E_slice14
216,Case10_Site_E_slice15
217,Case11_Site_E_slice00
218,Case11_Site_E_slice01
219,Case11_Site_E_slice02
220,Case11_Site_E_slice03
221,Case11_Site_E_slice04
222,Case11_Site_E_slice05
223,Case11_Site_E_slice06
224,Case11_Site_E_slice07
225,Case11_Site_E_slice08
226,Case11_Site_E_slice09
227,Case11_Site_E_slice10
228,Case11_Site_E_slice11
229,Case11_Site_E_slice12
230,Case11_Site_E_slice13
231,Case11_Site_E_slice14
232,Case11_Site_E_slice15
233,Case11_Site_E_slice16
234,Case11_Site_E_slice17
235,Case11_Site_E_slice18
236,Case11_Site_E_slice19
237,Case11_Site_E_slice20
238,Case11_Site_E_slice21
239,Case12_Site_E_slice00
240,Case12_Site_E_slice01
241,Case12_Site_E_slice02
242,Case12_Site_E_slice03
243,Case12_Site_E_slice04
244,Case12_Site_E_slice05
245,Case12_Site_E_slice06
246,Case12_Site_E_slice07
247,Case12_Site_E_slice08
248,Case12_Site_E_slice09
249,Case12_Site_E_slice10
250,Case12_Site_E_slice11
251,Case12_Site_E_slice12
252,Case12_Site_E_slice13
253,Case12_Site_E_slice14
254,Case12_Site_E_slice15
255,Case12_Site_E_slice16
256,Case12_Site_E_slice17
257,Case12_Site_E_slice18
258,Case12_Site_E_slice19
259,Case12_Site_E_slice20
260,Case12_Site_E_slice21
