,train,val,test
0,Case06_Site_E_slice00,Case05_Site_E_slice00,Case07_Site_E_slice00
1,Case06_Site_E_slice01,Case05_Site_E_slice01,Case07_Site_E_slice01
2,Case06_Site_E_slice02,Case05_Site_E_slice02,Case07_Site_E_slice02
3,Case06_Site_E_slice03,Case05_Site_E_slice03,Case07_Site_E_slice03
4,Case06_Site_E_slice04,Case05_Site_E_slice04,Case07_Site_E_slice04
5,Case06_Site_E_slice05,Case05_Site_E_slice05,Case07_Site_E_slice05
6,Case06_Site_E_slice06,Case05_Site_E_slice06,Case07_Site_E_slice06
7,Case06_Site_E_slice07,Case05_Site_E_slice07,Case07_Site_E_slice07
8,Case06_Site_E_slice08,Case05_Site_E_slice08,Case07_Site_E_slice08
9,Case06_Site_E_slice09,Case05_Site_E_slice09,Case07_Site_E_slice09
10,Case06_Site_E_slice10,Case05_Site_E_slice10,Case07_Site_E_slice10
11,Case06_Site_E_slice11,Case05_Site_E_slice11,Case07_Site_E_slice11
12,Case06_Site_E_slice12,Case05_Site_E_slice12,Case07_Site_E_slice12
13,Case06_Site_E_slice13,Case05_Site_E_slice13,Case07_Site_E_slice13
14,Case06_Site_E_slice14,Case05_Site_E_slice14,Case07_Site_E_slice14
15,Case06_Site_E_slice15,Case05_Site_E_slice15,Case07_Site_E_slice15
16,Case06_Site_E_slice16,Case05_Site_E_slice16,Case09_Site_E_slice00
17,Case06_Site_E_slice17,Case05_Site_E_slice17,Case09_Site_E_slice01
18,Case06_Site_E_slice18,Case05_Site_E_slice18,Case09_Site_E_slice02
19,Case06_Site_E_slice19,Case05_Site_E_slice19,Case09_Site_E_slice03
20,Case06_Site_E_slice20,Case05_Site_E_slice20,Case09_Site_E_slice04
21,Case06_Site_E_slice21,Case05_Site_E_slice21,Case09_Site_E_slice05
22,Case06_Site_E_slice22,Case05_Site_E_slice22,Case09_Site_E_slice06
23,Case06_Site_E_slice23,Case05_Site_E_slice23,Case09_Site_E_slice07
24,Case06_Site_E_slice24,Case05_Site_E_slice24,Case09_Site_E_slice08
25,Case06_Site_E_slice25,Case05_Site_E_slice25,Case09_Site_E_slice09
26,Case06_Site_E_slice26,,Case09_Site_E_slice10
27,Case06_Site_E_slice27,,Case09_Site_E_slice11
28,Case06_Site_E_slice28,,Case09_Site_E_slice12
29,Case02_Site_E_slice00,,Case09_Site_E_slice13
30,Case02_Site_E_slice01,,Case09_Site_E_slice14
31,Case02_Site_E_slice02,,Case09_Site_E_slice15
32,Case02_Site_E_slice03,,Case09_Site_E_slice16
33,Case02_Site_E_slice04,,Case09_Site_E_slice17
34,Case02_Site_E_slice05,,Case09_Site_E_slice18
35,Case02_Site_E_slice06,,Case09_Site_E_slice19
36,Case02_Site_E_slice07,,Case09_Site_E_slice20
37,Case02_Site_E_slice08,,Case09_Site_E_slice21
38,Case02_Site_E_slice09,,Case09_Site_E_slice22
39,Case02_Site_E_slice10,,Case09_Site_E_slice23
40,Case02_Site_E_slice11,,Case09_Site_E_slice24
41,Case02_Site_E_slice12,,Case09_Site_E_slice25
42,Case02_Site_E_slice13,,Case11_Site_E_slice00
43,Case02_Site_E_slice14,,Case11_Site_E_slice01
44,Case02_Site_E_slice15,,Case11_Site_E_slice02
45,Case02_Site_E_slice16,,Case11_Site_E_slice03
46,Case02_Site_E_slice17,,Case11_Site_E_slice04
47,Case02_Site_E_slice18,,Case11_Site_E_slice05
48,Case02_Site_E_slice19,,Case11_Site_E_slice06
49,Case10_Site_E_slice00,,Case11_Site_E_slice07
50,Case10_Site_E_slice01,,Case11_Site_E_slice08
51,Case10_Site_E_slice02,,Case11_Site_E_slice09
52,Case10_Site_E_slice03,,Case11_Site_E_slice10
53,Case10_Site_E_slice04,,Case11_Site_E_slice11
54,Case10_Site_E_slice05,,Case11_Site_E_slice12
55,Case10_Site_E_slice06,,Case11_Site_E_slice13
56,Case10_Site_E_slice07,,Case11_Site_E_slice14
57,Case10_Site_E_slice08,,Case11_Site_E_slice15
58,Case10_Site_E_slice09,,Case11_Site_E_slice16
59,Case10_Site_E_slice10,,Case11_Site_E_slice17
60,Case10_Site_E_slice11,,Case11_Site_E_slice18
61,Case10_Site_E_slice12,,Case11_Site_E_slice19
62,Case10_Site_E_slice13,,Case11_Site_E_slice20
63,Case10_Site_E_slice14,,Case11_Site_E_slice21
64,Case10_Site_E_slice15,,Case00_Site_E_slice00
65,Case12_Site_E_slice00,,Case00_Site_E_slice01
66,Case12_Site_E_slice01,,Case00_Site_E_slice02
67,Case12_Site_E_slice02,,Case00_Site_E_slice03
68,Case12_Site_E_slice03,,Case00_Site_E_slice04
69,Case12_Site_E_slice04,,Case00_Site_E_slice05
70,Case12_Site_E_slice05,,Case00_Site_E_slice06
71,Case12_Site_E_slice06,,Case00_Site_E_slice07
72,Case12_Site_E_slice07,,Case00_Site_E_slice08
73,Case12_Site_E_slice08,,Case00_Site_E_slice09
74,Case12_Site_E_slice09,,Case00_Site_E_slice10
75,Case12_Site_E_slice10,,Case00_Site_E_slice11
76,Case12_Site_E_slice11,,Case00_Site_E_slice12
77,Case12_Site_E_slice12,,Case00_Site_E_slice13
78,Case12_Site_E_slice13,,Case00_Site_E_slice14
79,Case12_Site_E_slice14,,Case00_Site_E_slice15
80,Case12_Site_E_slice15,,Case00_Site_E_slice16
81,Case12_Site_E_slice16,,Case00_Site_E_slice17
82,Case12_Site_E_slice17,,Case00_Site_E_slice18
83,Case12_Site_E_slice18,,Case00_Site_E_slice19
84,Case12_Site_E_slice19,,Case00_Site_E_slice20
85,Case12_Site_E_slice20,,Case00_Site_E_slice21
86,Case12_Site_E_slice21,,Case00_Site_E_slice22
87,Case03_Site_E_slice00,,Case00_Site_E_slice23
88,Case03_Site_E_slice01,,Case00_Site_E_slice24
89,Case03_Site_E_slice02,,
90,Case03_Site_E_slice03,,
91,Case03_Site_E_slice04,,
92,Case03_Site_E_slice05,,
93,Case03_Site_E_slice06,,
94,Case03_Site_E_slice07,,
95,Case03_Site_E_slice08,,
96,Case03_Site_E_slice09,,
97,Case03_Site_E_slice10,,
98,Case03_Site_E_slice11,,
99,Case03_Site_E_slice12,,
100,Case03_Site_E_slice13,,
