,slide_id
0,Case38_Site_F_slice00
1,Case38_Site_F_slice01
2,Case38_Site_F_slice02
3,Case38_Site_F_slice03
4,Case38_Site_F_slice04
5,Case38_Site_F_slice05
6,Case38_Site_F_slice06
7,Case38_Site_F_slice07
8,Case38_Site_F_slice08
9,Case38_Site_F_slice09
10,Case38_Site_F_slice10
11,Case38_Site_F_slice11
12,Case38_Site_F_slice12
13,Case38_Site_F_slice13
14,Case39_Site_F_slice00
15,Case39_Site_F_slice01
16,Case39_Site_F_slice02
17,Case39_Site_F_slice03
18,Case39_Site_F_slice04
19,Case39_Site_F_slice05
20,Case39_Site_F_slice06
21,Case39_Site_F_slice07
22,Case39_Site_F_slice08
23,Case39_Site_F_slice09
24,Case39_Site_F_slice10
25,Case39_Site_F_slice11
26,Case39_Site_F_slice12
27,Case39_Site_F_slice13
28,Case40_Site_F_slice00
29,Case40_Site_F_slice01
30,Case40_Site_F_slice02
31,Case40_Site_F_slice03
32,Case40_Site_F_slice04
33,Case40_Site_F_slice05
34,Case40_Site_F_slice06
35,Case40_Site_F_slice07
36,Case40_Site_F_slice08
37,Case40_Site_F_slice09
38,Case40_Site_F_slice10
39,Case40_Site_F_slice11
40,Case40_Site_F_slice12
41,Case40_Site_F_slice13
42,Case41_Site_F_slice00
43,Case41_Site_F_slice01
44,Case41_Site_F_slice02
45,Case41_Site_F_slice03
46,Case41_Site_F_slice04
47,Case41_Site_F_slice05
48,Case41_Site_F_slice06
49,Case41_Site_F_slice07
50,Case41_Site_F_slice08
51,Case41_Site_F_slice09
52,Case41_Site_F_slice10
53,Case42_Site_F_slice00
54,Case42_Site_F_slice01
55,Case42_Site_F_slice02
56,Case42_Site_F_slice03
57,Case42_Site_F_slice04
58,Case42_Site_F_slice05
59,Case42_Site_F_slice06
60,Case42_Site_F_slice07
61,Case42_Site_F_slice08
62,Case42_Site_F_slice09
63,Case42_Site_F_slice10
64,Case42_Site_F_slice11
65,Case42_Site_F_slice12
66,Case42_Site_F_slice13
67,Case42_Site_F_slice14
68,Case42_Site_F_slice15
69,Case42_Site_F_slice16
70,Case42_Site_F_slice17
71,Case42_Site_F_slice18
72,Case42_Site_F_slice19
73,Case42_Site_F_slice20
74,Case42_Site_F_slice21
75,Case43_Site_F_slice00
76,Case43_Site_F_slice01
77,Case43_Site_F_slice02
78,Case43_Site_F_slice03
79,Case43_Site_F_slice04
80,Case43_Site_F_slice05
81,Case43_Site_F_slice06
82,Case43_Site_F_slice07
83,Case43_Site_F_slice08
84,Case43_Site_F_slice09
85,Case43_Site_F_slice10
86,Case43_Site_F_slice11
87,Case43_Site_F_slice12
88,Case43_Site_F_slice13
89,Case44_Site_F_slice00
90,Case44_Site_F_slice01
91,Case44_Site_F_slice02
92,Case44_Site_F_slice03
93,Case44_Site_F_slice04
94,Case44_Site_F_slice05
95,Case44_Site_F_slice06
96,Case44_Site_F_slice07
97,Case44_Site_F_slice08
98,Case44_Site_F_slice09
99,Case44_Site_F_slice10
100,Case45_Site_F_slice00
101,Case45_Site_F_slice01
102,Case45_Site_F_slice02
103,Case45_Site_F_slice03
104,Case45_Site_F_slice04
105,Case45_Site_F_slice05
106,Case45_Site_F_slice06
107,Case45_Site_F_slice07
108,Case45_Site_F_slice08
109,Case45_Site_F_slice09
110,Case45_Site_F_slice10
111,Case46_Site_F_slice00
112,Case46_Site_F_slice01
113,Case46_Site_F_slice02
114,Case46_Site_F_slice03
115,Case46_Site_F_slice04
116,Case46_Site_F_slice05
117,Case46_Site_F_slice06
118,Case46_Site_F_slice07
119,Case46_Site_F_slice08
120,Case46_Site_F_slice09
121,Case46_Site_F_slice10
122,Case47_Site_F_slice00
123,Case47_Site_F_slice01
124,Case47_Site_F_slice02
125,Case47_Site_F_slice03
126,Case47_Site_F_slice04
127,Case47_Site_F_slice05
128,Case47_Site_F_slice06
129,Case47_Site_F_slice07
130,Case47_Site_F_slice08
131,Case47_Site_F_slice09
132,Case47_Site_F_slice10
133,Case47_Site_F_slice11
134,Case48_Site_F_slice00
135,Case48_Site_F_slice01
136,Case48_Site_F_slice02
137,Case48_Site_F_slice03
138,Case48_Site_F_slice04
139,Case48_Site_F_slice05
140,Case48_Site_F_slice06
141,Case48_Site_F_slice07
142,Case48_Site_F_slice08
143,Case48_Site_F_slice09
144,Case48_Site_F_slice10
145,Case48_Site_F_slice11
146,Case48_Site_F_slice12
147,Case49_Site_F_slice00
148,Case49_Site_F_slice01
149,Case49_Site_F_slice02
150,Case49_Site_F_slice03
151,Case49_Site_F_slice04
152,Case49_Site_F_slice05
153,Case49_Site_F_slice06
154,Case49_Site_F_slice07
155,Case49_Site_F_slice08
156,Case49_Site_F_slice09
157,Case49_Site_F_slice10
